dataset,window_size,score_threshold,order,smoothing_alpha,decision_mode,score_window,max_mapping_distance,ensemble_enabled,ensemble_orders,ensemble_weights,ensemble_aggregation,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,5,0.5108,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.6931,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.9163,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,1.204,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,1.6094,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,2.3026,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,2.9957,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.12345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,3.5066,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.40740740740740733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,3.912,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.691358024691358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,4.2,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.7530864197530864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,6,0.0,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.001,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.005,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.01,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.05,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.1054,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.2231,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.3567,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.5108,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.6931,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.9163,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,1.204,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,1.6094,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,2.3026,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.045112781954887216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,2.9957,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,3.5066,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.5488721804511278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,3.912,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.8646616541353384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,4.2,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.9548872180451127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,7,0.0,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.001,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.005,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.01,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.05,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.1054,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.2231,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.3567,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
