dataset,score_window_candidate,adaptive_strategy,adaptive_value,window_size,alphabet_size,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,scoring_mode,pst_score_window,adaptive_threshold_mean,stability_f1_mean,stability_f1_min,accuracy_mean,precision_mean,recall_mean,num_contexts_mean,transition_density_mean
SKAB,5,mean_std,1.0,5,5,2,1,0.1,negative_log,5,1.6352430540194134,0.3126752643544721,0.171990171990172,0.5700068568846837,0.3986991223988038,0.31804498426868516,431.0,0.013312386893514805
SKAB,3,mean_std,1.0,5,5,2,1,0.1,negative_log,3,1.6809431637923333,0.30404403099301425,0.1797752808988764,0.5738380412847072,0.39066682289987126,0.29952975236953144,431.0,0.013312386893514805
SKAB,10,percentile,90.0,5,5,2,1,0.1,negative_log,10,1.8115539701870012,0.2736312854549995,0.13513513513513514,0.5746509060827022,0.38668798134616245,0.27827990717380663,431.0,0.013312386893514805
SKAB,5,percentile,90.0,5,5,2,1,0.1,negative_log,5,1.90830363346719,0.2630749148094233,0.12673267326732673,0.5809457674350499,0.3886605547906137,0.2554447884551252,431.0,0.013312386893514805
SKAB,3,percentile,90.0,5,5,2,1,0.1,negative_log,3,1.9793740120047227,0.24275068312051717,0.09913793103448276,0.586425279208319,0.37809541511657874,0.22748259900202594,431.0,0.013312386893514805
SKAB,1,percentile,90.0,5,5,2,1,0.1,negative_log,1,2.2879236287043305,0.23627596615189167,0.11655011655011654,0.6001363705449395,0.3801846920649281,0.1969350954374129,431.0,0.013312386893514805
SKAB,10,percentile,95.0,5,5,2,1,0.1,negative_log,10,2.0252845618245283,0.2201784600676977,0.02643171806167401,0.5833320342611596,0.33987178217017333,0.22148787765276753,431.0,0.013312386893514805
SKAB,5,percentile,95.0,5,5,2,1,0.1,negative_log,5,2.1854497841657,0.21705967162315573,0.059496567505720827,0.5906677766113775,0.360905919273218,0.2005493810686102,431.0,0.013312386893514805
SKAB,1,mean_std,2.0,5,5,2,1,0.1,negative_log,1,2.7180766301369514,0.20258402060577352,0.08374384236453201,0.6121859535630277,0.4086848080440291,0.16002956718482517,431.0,0.013312386893514805
SKAB,3,percentile,95.0,5,5,2,1,0.1,negative_log,3,2.2889872330963423,0.20013611759395136,0.05517241379310345,0.5942488908122571,0.3518325999101751,0.17917875627427862,431.0,0.013312386893514805
SKAB,10,percentile,97.0,5,5,2,1,0.1,negative_log,10,2.1450435604754197,0.1982415717958158,0.00558659217877095,0.5885953480243348,0.30960245652661667,0.19745279357773676,431.0,0.013312386893514805
SKAB,5,percentile,97.0,5,5,2,1,0.1,negative_log,5,2.3502586493129396,0.1955933645040915,0.028037383177570093,0.5974825793881806,0.3467209138999855,0.17583415245825595,431.0,0.013312386893514805
SKAB,5,mean_std,2.0,5,5,2,1,0.1,negative_log,5,2.361351410505943,0.19428364243717072,0.02403846153846154,0.5973600484573499,0.34820872219367766,0.1754356499311253,431.0,0.013312386893514805
SKAB,3,mean_std,2.0,5,5,2,1,0.1,negative_log,3,2.45261833463325,0.18799825204513151,0.038461538461538464,0.5984903471938828,0.34440397328889355,0.16416839793985755,431.0,0.013312386893514805
SKAB,10,mean_std,2.0,5,5,2,1,0.1,negative_log,10,2.219880887292041,0.1863334394481612,0.0,0.5923755762864947,0.29237415013448914,0.18668971520081412,431.0,0.013312386893514805
SKAB,3,percentile,97.0,5,5,2,1,0.1,negative_log,3,2.5113822870180287,0.18449706511999447,0.03389830508474576,0.599555571687532,0.33848539526132176,0.16062182154589194,431.0,0.013312386893514805
SKAB,1,percentile,95.0,5,5,2,1,0.1,negative_log,1,2.7420304570595384,0.1751420747293616,0.08801955990220049,0.6095648511380801,0.39740745475692535,0.1240494375065704,431.0,0.013312386893514805
SKAB,10,percentile,99.0,5,5,2,1,0.1,negative_log,10,2.3606951674193764,0.1738337816015937,0.0,0.6034527799588453,0.28877465809967545,0.168770842556505,431.0,0.013312386893514805
SKAB,3,percentile,99.0,5,5,2,1,0.1,negative_log,3,2.728630424679892,0.164766484889023,0.02,0.6060839094345527,0.3277280631380761,0.13394992140637585,431.0,0.013312386893514805
SKAB,5,percentile,99.0,5,5,2,1,0.1,negative_log,5,2.642284696715601,0.15736910592511413,0.015306122448979591,0.6034726119682436,0.29902823556987057,0.13623146398567065,431.0,0.013312386893514805
SKAB,1,percentile,97.0,5,5,2,1,0.1,negative_log,1,2.8820765047959758,0.1391261384440875,0.04736842105263158,0.614451024282995,0.3706626362767748,0.09477584116619439,431.0,0.013312386893514805
SKAB,3,mean_std,3.0,5,5,2,1,0.1,negative_log,3,3.2242935054741673,0.13139349089673757,0.0055248618784530384,0.6183116681064265,0.29341142890602123,0.10202802503403854,431.0,0.013312386893514805
