candidate_id,window_size,alphabet_size,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,anomaly_threshold,scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,f1_score_min,num_contexts_mean,transition_density_mean
7,3,3,2,2,0.1,0.5,gaussian_noise,0.6709598619940509,0.06943635168350529,0.4196583335484732,0.31046712115110403,0.21089634608723767,0.11776686988232073,0.24851041754093525,0.11541164406313803,0.08791208791208792,59.0,0.11457386633903885
7,3,3,2,2,0.1,0.5,original,0.6766364088218515,0.06503625778470243,0.4293953953953954,0.3016526966927273,0.2119113337741943,0.11504425448086841,0.2515390599552413,0.11102417272677267,0.1040650406504065,59.0,0.11457386633903885
7,3,3,2,2,0.1,0.5,unseen_data,0.08,0.1788854381999832,0.05,0.1118033988749895,0.2,0.447213595499958,0.08,0.1788854381999832,0.0,59.0,0.11457386633903885
8,3,3,2,2,0.1,0.7,gaussian_noise,0.628462279717937,0.09944655613916843,0.3955686490729147,0.2774765775318997,0.3153963275703309,0.18256150870810406,0.30122818132744683,0.1334564760963682,0.111254851228978,59.0,0.11457386633903885
8,3,3,2,2,0.1,0.7,original,0.6385166719891084,0.09683587907042032,0.40411224147455976,0.2698028334343629,0.3198764395262545,0.186367709508085,0.30923621825966885,0.14099929364657401,0.11936339522546419,59.0,0.11457386633903885
8,3,3,2,2,0.1,0.7,unseen_data,0.04,0.0894427190999916,0.04,0.0894427190999916,0.2,0.447213595499958,0.06666666666666667,0.14907119849998596,0.0,59.0,0.11457386633903885
9,3,3,2,2,0.1,0.9,gaussian_noise,0.5854895282760071,0.1525162599003043,0.3356196720595187,0.18468756300938216,0.5016204485606393,0.2351809760025328,0.3955177013913397,0.19771068377907433,0.1271282633371169,59.0,0.11457386633903885
9,3,3,2,2,0.1,0.9,original,0.5937982072951457,0.14982587601608743,0.34219126019598634,0.1854407735519073,0.5011067886338468,0.23231663229189037,0.3999172698741745,0.19710770074516332,0.12947976878612716,59.0,0.11457386633903885
9,3,3,2,2,0.1,0.9,unseen_data,0.04,0.0894427190999916,0.04,0.0894427190999916,0.2,0.447213595499958,0.06666666666666667,0.14907119849998596,0.0,59.0,0.11457386633903885
10,3,3,2,2,0.5,0.5,gaussian_noise,0.6595472968343499,0.07542415892965756,0.4146995592317516,0.2954265066465128,0.2619256482293313,0.17037503662701572,0.27645004892398,0.135885850643388,0.09198813056379822,59.0,0.11457386633903885
10,3,3,2,2,0.5,0.5,original,0.6669522140122666,0.0711759771682097,0.42180262470555724,0.2842619397425202,0.26343064830722357,0.1673406446503798,0.2818162172572386,0.13355296256997667,0.10445468509984639,59.0,0.11457386633903885
10,3,3,2,2,0.5,0.5,unseen_data,0.08,0.1788854381999832,0.05,0.1118033988749895,0.2,0.447213595499958,0.08,0.1788854381999832,0.0,59.0,0.11457386633903885
11,3,3,2,2,0.5,0.7,gaussian_noise,0.6188067601178797,0.11465726101748011,0.39576373585814995,0.27314592927506653,0.36887687637599975,0.20166224784857845,0.3345382465472352,0.13845416900472937,0.11764705882352941,59.0,0.11457386633903885
11,3,3,2,2,0.5,0.7,original,0.6295181523185432,0.1112203323228924,0.4043788783847558,0.26840920141679947,0.36835321638670687,0.20606379812635786,0.3387303828318931,0.14641024132944067,0.12280701754385964,59.0,0.11457386633903885
11,3,3,2,2,0.5,0.7,unseen_data,0.04,0.0894427190999916,0.04,0.0894427190999916,0.2,0.447213595499958,0.06666666666666667,0.14907119849998596,0.0,59.0,0.11457386633903885
12,3,3,2,2,0.5,0.9,gaussian_noise,0.5530771106271212,0.19117049859889076,0.34157483440814984,0.1859511499208961,0.5497407493125189,0.20620927372501216,0.4140349584208357,0.19043573967446503,0.13205907906168549,59.0,0.11457386633903885
12,3,3,2,2,0.5,0.9,original,0.5605771275896207,0.1892351230308579,0.3479166826853163,0.18630837161626587,0.5502295956513906,0.20026460273869495,0.41871784203591983,0.18826182107114903,0.1381118881118881,59.0,0.11457386633903885
12,3,3,2,2,0.5,0.9,unseen_data,0.04,0.0894427190999916,0.04,0.0894427190999916,0.2,0.447213595499958,0.06666666666666667,0.14907119849998596,0.0,59.0,0.11457386633903885
13,3,3,3,1,0.1,0.5,gaussian_noise,0.6707179041271399,0.06850332141112811,0.4191891748392422,0.31044866080272593,0.21792635271134625,0.13545023316824506,0.25079894849059664,0.12027173129244814,0.0896,132.8,0.10354044540071641
13,3,3,3,1,0.1,0.5,original,0.6766421682939877,0.06520263551961564,0.4287363755929909,0.3035766479481328,0.21842762450101133,0.13800996973817775,0.25306287843821584,0.12194982214517437,0.10180623973727422,132.8,0.10354044540071641
13,3,3,3,1,0.1,0.5,unseen_data,0.08,0.1788854381999832,0.05,0.1118033988749895,0.2,0.447213595499958,0.08,0.1788854381999832,0.0,132.8,0.10354044540071641
14,3,3,3,1,0.1,0.7,gaussian_noise,0.6204059054786197,0.11757661208841094,0.40243182088683815,0.2935310397129978,0.3308789896354763,0.1827515408279545,0.31299353327668467,0.13374850132167274,0.12004801920768307,132.8,0.10354044540071641
14,3,3,3,1,0.1,0.7,original,0.6293719040884727,0.11462897528419493,0.4060257980448944,0.28350881901970604,0.3288627736759176,0.18447076006984703,0.31607341720009885,0.1417357095247213,0.12009803921568628,132.8,0.10354044540071641
14,3,3,3,1,0.1,0.7,unseen_data,0.04,0.0894427190999916,0.04,0.0894427190999916,0.2,0.447213595499958,0.06666666666666667,0.14907119849998596,0.0,132.8,0.10354044540071641
15,3,3,3,1,0.1,0.9,gaussian_noise,0.5772627081483249,0.16141271436843696,0.3392729084401183,0.18606223010406608,0.5375933972721658,0.2430600276497254,0.40939241903042944,0.20138200696315273,0.13504823151125403,132.8,0.10354044540071641
15,3,3,3,1,0.1,0.9,original,0.5847654723132776,0.15822489084328356,0.34423091802850325,0.1863167739988235,0.5350859468991084,0.2408154366879644,0.41221362370895925,0.2005295890764841,0.13755458515283842,132.8,0.10354044540071641
15,3,3,3,1,0.1,0.9,unseen_data,0.04,0.0894427190999916,0.04,0.0894427190999916,0.2,0.447213595499958,0.06666666666666667,0.14907119849998596,0.0,132.8,0.10354044540071641
16,3,3,3,1,0.5,0.5,gaussian_noise,0.6565632434075385,0.07858504107735326,0.41767769463802845,0.2881301370315807,0.29093223810260754,0.1931067912607262,0.2938801418171639,0.14683486905445423,0.10130246020260492,132.8,0.10354044540071641
16,3,3,3,1,0.5,0.5,original,0.6649280648171578,0.07318980297561363,0.4277470004210757,0.27968663326001675,0.291442231961711,0.19166152979047604,0.29784619184973093,0.14545317674931946,0.11497730711043873,132.8,0.10354044540071641
16,3,3,3,1,0.5,0.5,unseen_data,0.08,0.1788854381999832,0.05,0.1118033988749895,0.2,0.447213595499958,0.08,0.1788854381999832,0.0,132.8,0.10354044540071641
17,3,3,3,1,0.5,0.7,gaussian_noise,0.6065204164030915,0.13299047511716833,0.39917298648808786,0.279226359980681,0.4128436157203595,0.21045945830251633,0.35965019182844377,0.14455716660706705,0.13303769401330376,132.8,0.10354044540071641
17,3,3,3,1,0.5,0.7,original,0.6162821974810033,0.1299311755975968,0.404767331144632,0.2738159884340324,0.41032866530042683,0.21657130165656133,0.3619644780780996,0.15181957135969015,0.13137032842582105,132.8,0.10354044540071641
