dataset,score_window_candidate,adaptive_strategy,adaptive_value,scenario,window_size,alphabet_size,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,scoring_mode,pst_score_window,adaptive_threshold_mean,adaptive_threshold_std,adaptive_threshold_min,adaptive_threshold_max,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,f1_score_min,train_score_count_mean,train_score_mean,train_score_std_mean,num_contexts_mean,transition_density_mean
SKAB,10,mean_std,1.0,original,5,5,2,1,0.1,negative_log,10,1.5642958632594566,0.06845219642398155,1.4462513210981305,1.6528690857837105,0.56306895500471,0.06892790295085592,0.4119619096492241,0.10578619090365231,0.34171753234940455,0.2486090943458385,0.3253439946518595,0.12284336025576095,0.23671497584541062,3590.0,0.9087108392268723,0.6555850240325843,431.0,0.013312386893514805
SKAB,5,mean_std,1.0,original,5,5,2,1,0.1,negative_log,5,1.6352430540194134,0.06905772847482829,1.5143721562813386,1.7186150507332547,0.5684965373294507,0.06441015508722374,0.40382186427491507,0.11195504693963591,0.312458403691951,0.23928121361720764,0.30861269039433664,0.12614322294424338,0.20722891566265061,3590.0,0.9091346975328841,0.7261083564865294,431.0,0.013312386893514805
SKAB,1,mean_std,1.0,original,5,5,2,1,0.1,negative_log,1,1.8137916962483465,0.06469722527922812,1.6983284434097987,1.885931433202118,0.5904103807065522,0.04514408657495605,0.41288317199767444,0.09970537533597981,0.28065084520352424,0.18032613160703898,0.3080028644068499,0.11399171517506798,0.2155688622754491,3590.0,0.9095067623597416,0.904284933888605,431.0,0.013312386893514805
SKAB,3,mean_std,1.0,original,5,5,2,1,0.1,negative_log,3,1.6809431637923333,0.06918431383965158,1.5596487243717585,1.76259253200491,0.5718359924534496,0.05573073973501445,0.3890543219904648,0.09776853439671722,0.29159615365166197,0.22290959348402586,0.29701212359760987,0.1283225965152138,0.18932038834951456,3590.0,0.9092679929514162,0.771675170840917,431.0,0.013312386893514805
SKAB,10,percentile,90.0,original,5,5,2,1,0.1,negative_log,10,1.8115539701870012,0.0793528687317734,1.673946919902191,1.9093512582213994,0.5717741428326836,0.06284123116785258,0.3922677761666504,0.13032582518097122,0.2722733392845312,0.25968145912342144,0.2693739056700202,0.1522042690888564,0.18007662835249041,3590.0,0.9087108392268723,0.6555850240325843,431.0,0.013312386893514805
SKAB,5,percentile,90.0,original,5,5,2,1,0.1,negative_log,5,1.90830363346719,0.07365489998373266,1.7829820085804393,2.006206313479847,0.5780737686993098,0.05682871449096328,0.3949283080385826,0.12742170088441437,0.2503112102957074,0.23156778505731945,0.2588690259425013,0.14658058324055137,0.15584415584415584,3590.0,0.9091346975328841,0.7261083564865294,431.0,0.013312386893514805
SKAB,3,percentile,90.0,original,5,5,2,1,0.1,negative_log,3,1.9793740120047227,0.07306206833144314,1.8577254023923164,2.081811476381813,0.5839047133168783,0.05026865862571031,0.38164621672223864,0.12343353631339414,0.22133710870612705,0.2157716816345321,0.23682504492373263,0.15210891461783416,0.11733333333333333,3590.0,0.9092679929514162,0.771675170840917,431.0,0.013312386893514805
SKAB,1,percentile,90.0,original,5,5,2,1,0.1,negative_log,1,2.2879236287043305,0.09365344188072791,2.125961557314729,2.3949584131250607,0.5991688911656167,0.03261111544586965,0.37882750648778407,0.09159674728975753,0.19343843606094763,0.16159285284991065,0.23233394381024827,0.13150650688673524,0.15384615384615385,3590.0,0.9095067623597416,0.904284933888605,431.0,0.013312386893514805
SKAB,5,percentile,95.0,original,5,5,2,1,0.1,negative_log,5,2.1854497841657,0.08548649926271899,2.051649203826,2.3158172568051056,0.5878795603503982,0.05005481174115133,0.3610576036031493,0.13636284036122134,0.1944627848567785,0.21819226844936285,0.21106286043508427,0.1671465575172049,0.1095890410958904,3590.0,0.9091346975328841,0.7261083564865294,431.0,0.013312386893514805
SKAB,10,percentile,95.0,original,5,5,2,1,0.1,negative_log,10,2.0252845618245283,0.071453032071871,1.9093017496998865,2.129066115294833,0.579719667135312,0.06331024593210202,0.3324981380558819,0.1486535916156907,0.21169061630724986,0.2737226208506194,0.2095198890836774,0.19711831121204704,0.08620689655172414,3590.0,0.9087108392268723,0.6555850240325843,431.0,0.013312386893514805
