dataset,window_size,score_threshold,order,smoothing_alpha,decision_mode,score_window,max_mapping_distance,transition_confidence_enabled,transition_confidence_k,transition_confidence_weight,transition_confidence_mode,transition_confidence_use_transition_count,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,9,0.5108,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.6931,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.9163,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,1.204,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,1.6094,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03614457831325301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,2.3026,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.04819277108433735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,2.9957,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.0963855421686747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,3.5066,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.22891566265060243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,3.912,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.42168674698795183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,4.2,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.6024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,10,0.0,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812252400722594,454.0,493.0
BATADAL,10,0.001,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812252400722594,454.0,493.0
BATADAL,10,0.005,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812252400722594,454.0,493.0
BATADAL,10,0.01,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812252400722594,454.0,493.0
BATADAL,10,0.05,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812252400722594,454.0,493.0
