accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,smoothing_alpha,dirichlet_smoothing_enabled,dirichlet_alpha,dirichlet_prior_mode,decision_mode,score_threshold,auto_score_percentile,score_window,max_mapping_distance,num_states,vocab_size,num_transitions,transition_density
0.6682926829268293,0.07042253521126761,0.7142857142857143,0.1282051282051282,original,BATADAL,dirichlet_smoothing_sweep,2026,4,3,3,0.05,0.1,True,0.1,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.6634146341463415,0.06944444444444445,0.7142857142857143,0.12658227848101267,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,2026,4,3,3,0.05,0.1,True,0.1,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.25,0.07692307692307693,1.0,0.14285714285714285,unseen_data,BATADAL,dirichlet_smoothing_sweep,2026,4,3,3,0.05,0.1,True,0.1,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.6682926829268293,0.07042253521126761,0.7142857142857143,0.1282051282051282,original,BATADAL,dirichlet_smoothing_sweep,7,4,3,3,0.05,0.1,True,0.1,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.6731707317073171,0.07142857142857142,0.7142857142857143,0.12987012987012986,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,7,4,3,3,0.05,0.1,True,0.1,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.25,0.07692307692307693,1.0,0.14285714285714285,unseen_data,BATADAL,dirichlet_smoothing_sweep,7,4,3,3,0.05,0.1,True,0.1,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.6682926829268293,0.07042253521126761,0.7142857142857143,0.1282051282051282,original,BATADAL,dirichlet_smoothing_sweep,999,4,3,3,0.05,0.1,True,0.1,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.6731707317073171,0.07142857142857142,0.7142857142857143,0.12987012987012986,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,999,4,3,3,0.05,0.1,True,0.1,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.25,0.07692307692307693,1.0,0.14285714285714285,unseen_data,BATADAL,dirichlet_smoothing_sweep,999,4,3,3,0.05,0.1,True,0.1,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8439024390243902,0.12121212121212122,0.5714285714285714,0.2,original,BATADAL,dirichlet_smoothing_sweep,42,4,3,3,0.05,0.1,True,0.5,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8341463414634146,0.11428571428571428,0.5714285714285714,0.19047619047619047,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,42,4,3,3,0.05,0.1,True,0.5,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.4375,0.1,1.0,0.18181818181818182,unseen_data,BATADAL,dirichlet_smoothing_sweep,42,4,3,3,0.05,0.1,True,0.5,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8439024390243902,0.12121212121212122,0.5714285714285714,0.2,original,BATADAL,dirichlet_smoothing_sweep,123,4,3,3,0.05,0.1,True,0.5,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8292682926829268,0.0625,0.2857142857142857,0.10256410256410256,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,123,4,3,3,0.05,0.1,True,0.5,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.4375,0.1,1.0,0.18181818181818182,unseen_data,BATADAL,dirichlet_smoothing_sweep,123,4,3,3,0.05,0.1,True,0.5,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8439024390243902,0.12121212121212122,0.5714285714285714,0.2,original,BATADAL,dirichlet_smoothing_sweep,2026,4,3,3,0.05,0.1,True,0.5,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8292682926829268,0.1111111111111111,0.5714285714285714,0.18604651162790697,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,2026,4,3,3,0.05,0.1,True,0.5,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.4375,0.1,1.0,0.18181818181818182,unseen_data,BATADAL,dirichlet_smoothing_sweep,2026,4,3,3,0.05,0.1,True,0.5,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8439024390243902,0.12121212121212122,0.5714285714285714,0.2,original,BATADAL,dirichlet_smoothing_sweep,7,4,3,3,0.05,0.1,True,0.5,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8439024390243902,0.12121212121212122,0.5714285714285714,0.2,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,7,4,3,3,0.05,0.1,True,0.5,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.4375,0.1,1.0,0.18181818181818182,unseen_data,BATADAL,dirichlet_smoothing_sweep,7,4,3,3,0.05,0.1,True,0.5,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8439024390243902,0.12121212121212122,0.5714285714285714,0.2,original,BATADAL,dirichlet_smoothing_sweep,999,4,3,3,0.05,0.1,True,0.5,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8195121951219512,0.10526315789473684,0.5714285714285714,0.17777777777777778,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,999,4,3,3,0.05,0.1,True,0.5,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.4375,0.1,1.0,0.18181818181818182,unseen_data,BATADAL,dirichlet_smoothing_sweep,999,4,3,3,0.05,0.1,True,0.5,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.9073170731707317,0.2,0.5714285714285714,0.2962962962962963,original,BATADAL,dirichlet_smoothing_sweep,42,4,3,3,0.05,0.1,True,1.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8975609756097561,0.18181818181818182,0.5714285714285714,0.27586206896551724,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,42,4,3,3,0.05,0.1,True,1.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.5,0.1111111111111111,1.0,0.2,unseen_data,BATADAL,dirichlet_smoothing_sweep,42,4,3,3,0.05,0.1,True,1.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.9073170731707317,0.2,0.5714285714285714,0.2962962962962963,original,BATADAL,dirichlet_smoothing_sweep,123,4,3,3,0.05,0.1,True,1.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8878048780487805,0.1,0.2857142857142857,0.14814814814814814,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,123,4,3,3,0.05,0.1,True,1.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.5,0.1111111111111111,1.0,0.2,unseen_data,BATADAL,dirichlet_smoothing_sweep,123,4,3,3,0.05,0.1,True,1.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.9073170731707317,0.2,0.5714285714285714,0.2962962962962963,original,BATADAL,dirichlet_smoothing_sweep,2026,4,3,3,0.05,0.1,True,1.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8975609756097561,0.18181818181818182,0.5714285714285714,0.27586206896551724,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,2026,4,3,3,0.05,0.1,True,1.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
