search_stage,normal_distance_penalty,anomaly_distance_penalty,threshold,recall_constraint_met,predicted_anomaly_count,validation_accuracy,validation_precision,validation_recall,validation_f1_score,dataset,fold,seed,inner_splitter,inner_split_id,validation_sample_count,validation_anomaly_count,normal_merge_alpha,normal_min_state_count,normal_smoothing_alpha,anomaly_merge_alpha,anomaly_min_state_count,anomaly_smoothing_alpha,min_anomaly_run,raw_predicted_anomaly_count,validation_mean_file_f1,validation_min_file_f1,validation_std_file_f1
threshold_temporal_persistence,0.0,2.0,-3.9244749106030827,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,3.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.9244749106030827,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,4.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.9244749106030827,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,5.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.9244749106030827,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,6.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.9244749106030827,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,7.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.9244749106030827,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,8.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.9244749106030827,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,10.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.9244749106030827,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,12.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-0.8861910255605844,True,807,0.36835748792270534,0.35811648079306074,0.9829931972789115,0.5249772933696639,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,1.0,807.0,0.5301549155174325,0.5143638850889193,0.01579103042851332
threshold_temporal_persistence,0.0,2.0,-0.8861910255605844,True,805,0.36835748792270534,0.3577639751552795,0.9795918367346939,0.5241128298453139,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,2.0,807.0,0.5289210729792422,0.5143638850889193,0.014557187890322953
threshold_temporal_persistence,0.0,2.0,-0.8861910255605844,True,805,0.36835748792270534,0.3577639751552795,0.9795918367346939,0.5241128298453139,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,3.0,807.0,0.5289210729792422,0.5143638850889193,0.014557187890322953
threshold_temporal_persistence,0.0,2.0,-0.8861910255605844,True,805,0.36835748792270534,0.3577639751552795,0.9795918367346939,0.5241128298453139,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,4.0,807.0,0.5289210729792422,0.5143638850889193,0.014557187890322953
threshold_temporal_persistence,0.0,2.0,-0.8861910255605844,True,805,0.36835748792270534,0.3577639751552795,0.9795918367346939,0.5241128298453139,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,5.0,807.0,0.5289210729792422,0.5143638850889193,0.014557187890322953
threshold_temporal_persistence,0.0,2.0,-0.8861910255605844,True,795,0.36835748792270534,0.3559748427672956,0.9625850340136054,0.519742883379247,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,6.0,807.0,0.5275482093663912,0.5041322314049587,0.02341597796143252
threshold_temporal_persistence,0.0,2.0,-0.8861910255605844,True,789,0.3756038647342995,0.35868187579214195,0.9625850340136054,0.5226223453370268,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,7.0,807.0,0.5296487603305785,0.5083333333333333,0.0213154269972452
threshold_temporal_persistence,0.0,2.0,-0.8861910255605844,True,782,0.38405797101449274,0.3618925831202046,0.9625850340136054,0.5260223048327137,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,8.0,807.0,0.535065543071161,0.5083333333333333,0.02673220973782775
threshold_temporal_persistence,0.0,2.0,-0.8861910255605844,True,782,0.38405797101449274,0.3618925831202046,0.9625850340136054,0.5260223048327137,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,10.0,807.0,0.535065543071161,0.5083333333333333,0.02673220973782775
threshold_temporal_persistence,0.0,2.0,-0.8861910255605844,True,782,0.38405797101449274,0.3618925831202046,0.9625850340136054,0.5260223048327137,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,12.0,807.0,0.535065543071161,0.5083333333333333,0.02673220973782775
threshold_temporal_persistence,0.0,2.0,-0.6017234325465338,True,786,0.38164251207729466,0.361323155216285,0.9659863945578231,0.5259259259259259,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,1.0,786.0,0.5323540888351446,0.5131761442441054,0.01917794459103922
threshold_temporal_persistence,0.0,2.0,-0.6017234325465338,True,784,0.38164251207729466,0.36096938775510207,0.9625850340136054,0.5250463821892394,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,2.0,786.0,0.5310978760436214,0.5131761442441054,0.01792173179951595
threshold_temporal_persistence,0.0,2.0,-0.6017234325465338,True,784,0.38164251207729466,0.36096938775510207,0.9625850340136054,0.5250463821892394,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,3.0,786.0,0.5310978760436214,0.5131761442441054,0.01792173179951595
threshold_temporal_persistence,0.0,2.0,-0.6017234325465338,True,781,0.3780193236714976,0.3585147247119078,0.9523809523809523,0.5209302325581395,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,4.0,786.0,0.5279916980719865,0.5069637883008357,0.02102790977115082
threshold_temporal_persistence,0.0,2.0,-0.6017234325465338,True,777,0.3828502415458937,0.36036036036036034,0.9523809523809523,0.5228758169934641,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,5.0,786.0,0.5311022907509844,0.5069637883008357,0.024138502450148758
threshold_temporal_persistence,0.0,2.0,-0.6017234325465338,True,772,0.3888888888888889,0.3626943005181347,0.9523809523809523,0.525328330206379,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,6.0,786.0,0.5350910895527167,0.5069637883008357,0.02812730125188101
threshold_temporal_persistence,0.0,2.0,-0.6017234325465338,True,766,0.3961352657004831,0.36553524804177545,0.9523809523809523,0.5283018867924528,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,7.0,786.0,0.5372271729303888,0.5112359550561798,0.02599121787420894
threshold_temporal_persistence,0.0,2.0,-0.6017234325465338,True,766,0.3961352657004831,0.36553524804177545,0.9523809523809523,0.5283018867924528,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,8.0,786.0,0.5372271729303888,0.5112359550561798,0.02599121787420894
threshold_temporal_persistence,0.0,2.0,-0.6017234325465338,True,766,0.3961352657004831,0.36553524804177545,0.9523809523809523,0.5283018867924528,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,10.0,786.0,0.5372271729303888,0.5112359550561798,0.02599121787420894
threshold_temporal_persistence,0.0,2.0,-0.6017234325465338,True,756,0.39855072463768115,0.36507936507936506,0.9387755102040817,0.5257142857142857,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,12.0,786.0,0.5337244864038295,0.5112359550561798,0.02248853134764972
threshold_temporal_persistence,0.0,2.0,-0.458272277590252,True,766,0.3961352657004831,0.36553524804177545,0.9523809523809523,0.5283018867924528,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,1.0,766.0,0.5362008964839882,0.5133239831697055,0.02287691331428271
threshold_temporal_persistence,0.0,2.0,-0.458272277590252,True,762,0.39855072463768115,0.3661417322834646,0.9489795918367347,0.5284090909090909,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,2.0,766.0,0.5356448358099432,0.5147679324894515,0.020876903320491635
