accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,model_variant,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,num_states,num_contexts,num_transitions,transition_density
0.006172839506172839,0.0,0.0,0.0,original,BATADAL,param_search,42,5,5,probabilistic_suffix_tree,2,2,1.0,261,651,1151,0.0067741346940457066
0.006172839506172839,0.0,0.0,0.0,original,BATADAL,param_search,42,5,5,probabilistic_suffix_tree,2,3,1.0,261,651,1151,0.0067741346940457066
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,5,5,probabilistic_suffix_tree,3,1,1.0,261,1152,1744,0.005800340570455513
0.006172839506172839,0.0,0.0,0.0,original,BATADAL,param_search,42,5,5,probabilistic_suffix_tree,3,2,1.0,261,1152,1744,0.005800340570455513
0.006172839506172839,0.0,0.0,0.0,original,BATADAL,param_search,42,5,5,probabilistic_suffix_tree,3,3,1.0,261,1152,1744,0.005800340570455513
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,5,5,probabilistic_suffix_tree,4,1,1.0,261,1745,2402,0.005273962827564251
0.006172839506172839,0.0,0.0,0.0,original,BATADAL,param_search,42,5,5,probabilistic_suffix_tree,4,2,1.0,261,1745,2402,0.005273962827564251
0.006172839506172839,0.0,0.0,0.0,original,BATADAL,param_search,42,5,5,probabilistic_suffix_tree,4,3,1.0,261,1745,2402,0.005273962827564251
0.018518518518518517,0.0,0.0,0.0,original,BATADAL,param_search,42,5,6,probabilistic_suffix_tree,2,1,1.0,327,793,1369,0.005279374959026035
0.018518518518518517,0.0,0.0,0.0,original,BATADAL,param_search,42,5,6,probabilistic_suffix_tree,2,2,1.0,327,793,1369,0.005279374959026035
0.018518518518518517,0.0,0.0,0.0,original,BATADAL,param_search,42,5,6,probabilistic_suffix_tree,2,3,1.0,327,793,1369,0.005279374959026035
0.018518518518518517,0.0,0.0,0.0,original,BATADAL,param_search,42,5,6,probabilistic_suffix_tree,3,1,1.0,327,1371,2038,0.004545890519431563
0.018518518518518517,0.0,0.0,0.0,original,BATADAL,param_search,42,5,6,probabilistic_suffix_tree,3,2,1.0,327,1371,2038,0.004545890519431563
0.018518518518518517,0.0,0.0,0.0,original,BATADAL,param_search,42,5,6,probabilistic_suffix_tree,3,3,1.0,327,1371,2038,0.004545890519431563
0.018518518518518517,0.0,0.0,0.0,original,BATADAL,param_search,42,5,6,probabilistic_suffix_tree,4,1,1.0,327,2040,2769,0.004150926425616118
0.018518518518518517,0.0,0.0,0.0,original,BATADAL,param_search,42,5,6,probabilistic_suffix_tree,4,2,1.0,327,2040,2769,0.004150926425616118
0.018518518518518517,0.0,0.0,0.0,original,BATADAL,param_search,42,5,6,probabilistic_suffix_tree,4,3,1.0,327,2040,2769,0.004150926425616118
0.07518796992481203,0.0,0.0,0.0,original,BATADAL,param_search,42,6,3,probabilistic_suffix_tree,2,1,1.0,91,216,375,0.01907814407814408
0.09022556390977443,0.0,0.0,0.0,original,BATADAL,param_search,42,6,3,probabilistic_suffix_tree,2,2,1.0,91,216,375,0.01907814407814408
0.09022556390977443,0.0,0.0,0.0,original,BATADAL,param_search,42,6,3,probabilistic_suffix_tree,2,3,1.0,91,216,375,0.01907814407814408
0.07518796992481203,0.0,0.0,0.0,original,BATADAL,param_search,42,6,3,probabilistic_suffix_tree,3,1,1.0,91,376,567,0.016571194762684125
0.09022556390977443,0.0,0.0,0.0,original,BATADAL,param_search,42,6,3,probabilistic_suffix_tree,3,2,1.0,91,376,567,0.016571194762684125
0.09022556390977443,0.0,0.0,0.0,original,BATADAL,param_search,42,6,3,probabilistic_suffix_tree,3,3,1.0,91,376,567,0.016571194762684125
0.07518796992481203,0.0,0.0,0.0,original,BATADAL,param_search,42,6,3,probabilistic_suffix_tree,4,1,1.0,91,568,792,0.015322705463550534
0.09022556390977443,0.0,0.0,0.0,original,BATADAL,param_search,42,6,3,probabilistic_suffix_tree,4,2,1.0,91,568,792,0.015322705463550534
0.09022556390977443,0.0,0.0,0.0,original,BATADAL,param_search,42,6,3,probabilistic_suffix_tree,4,3,1.0,91,568,792,0.015322705463550534
0.007518796992481203,0.0,0.0,0.0,original,BATADAL,param_search,42,6,4,probabilistic_suffix_tree,2,1,1.0,158,394,718,0.01153376598342222
0.007518796992481203,0.0,0.0,0.0,original,BATADAL,param_search,42,6,4,probabilistic_suffix_tree,2,2,1.0,158,394,718,0.01153376598342222
0.007518796992481203,0.0,0.0,0.0,original,BATADAL,param_search,42,6,4,probabilistic_suffix_tree,2,3,1.0,158,394,718,0.01153376598342222
0.007518796992481203,0.0,0.0,0.0,original,BATADAL,param_search,42,6,4,probabilistic_suffix_tree,3,1,1.0,158,719,1120,0.009858981355962042
0.007518796992481203,0.0,0.0,0.0,original,BATADAL,param_search,42,6,4,probabilistic_suffix_tree,3,2,1.0,158,719,1120,0.009858981355962042
0.007518796992481203,0.0,0.0,0.0,original,BATADAL,param_search,42,6,4,probabilistic_suffix_tree,3,3,1.0,158,719,1120,0.009858981355962042
0.007518796992481203,0.0,0.0,0.0,original,BATADAL,param_search,42,6,4,probabilistic_suffix_tree,4,1,1.0,158,1121,1587,0.008960128276064544
0.007518796992481203,0.0,0.0,0.0,original,BATADAL,param_search,42,6,4,probabilistic_suffix_tree,4,2,1.0,158,1121,1587,0.008960128276064544
0.007518796992481203,0.0,0.0,0.0,original,BATADAL,param_search,42,6,4,probabilistic_suffix_tree,4,3,1.0,158,1121,1587,0.008960128276064544
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,5,probabilistic_suffix_tree,2,1,1.0,259,609,1042,0.006606183946085424
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,5,probabilistic_suffix_tree,2,2,1.0,259,609,1042,0.006606183946085424
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,5,probabilistic_suffix_tree,2,3,1.0,259,609,1042,0.006606183946085424
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,5,probabilistic_suffix_tree,3,1,1.0,259,1043,1557,0.005763742101230117
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,5,probabilistic_suffix_tree,3,2,1.0,259,1043,1557,0.005763742101230117
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,5,probabilistic_suffix_tree,3,3,1.0,259,1043,1557,0.005763742101230117
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,5,probabilistic_suffix_tree,4,1,1.0,259,1558,2141,0.0053057825843448436
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,5,probabilistic_suffix_tree,4,2,1.0,259,1558,2141,0.0053057825843448436
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,5,probabilistic_suffix_tree,4,3,1.0,259,1558,2141,0.0053057825843448436
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,6,probabilistic_suffix_tree,2,1,1.0,325,753,1266,0.005173153539687404
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,6,probabilistic_suffix_tree,2,2,1.0,325,753,1266,0.005173153539687404
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,6,probabilistic_suffix_tree,2,3,1.0,325,753,1266,0.005173153539687404
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,6,probabilistic_suffix_tree,3,1,1.0,325,1268,1846,0.004479495268138801
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,6,probabilistic_suffix_tree,3,2,1.0,325,1268,1846,0.004479495268138801
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,6,probabilistic_suffix_tree,3,3,1.0,325,1268,1846,0.004479495268138801
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,6,probabilistic_suffix_tree,4,1,1.0,325,1848,2472,0.004115884115884116
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,6,probabilistic_suffix_tree,4,2,1.0,325,1848,2472,0.004115884115884116
0.0,0.0,0.0,0.0,original,BATADAL,param_search,42,6,6,probabilistic_suffix_tree,4,3,1.0,325,1848,2472,0.004115884115884116
0.7826666666666666,0.5792811839323467,0.683291770573566,0.6270022883295194,original,SKAB,param_search,42,3,3,probabilistic_suffix_tree,2,1,1.0,22,66,147,0.1012396694214876
0.7826666666666666,0.5792811839323467,0.683291770573566,0.6270022883295194,original,SKAB,param_search,42,3,3,probabilistic_suffix_tree,2,2,1.0,22,66,147,0.1012396694214876
0.7826666666666666,0.5792811839323467,0.683291770573566,0.6270022883295194,original,SKAB,param_search,42,3,3,probabilistic_suffix_tree,2,3,1.0,22,66,147,0.1012396694214876
0.7893333333333333,0.5876288659793815,0.7107231920199502,0.6433408577878104,original,SKAB,param_search,42,3,3,probabilistic_suffix_tree,3,1,1.0,22,148,292,0.08968058968058969
0.7893333333333333,0.5876288659793815,0.7107231920199502,0.6433408577878104,original,SKAB,param_search,42,3,3,probabilistic_suffix_tree,3,2,1.0,22,148,292,0.08968058968058969
0.7893333333333333,0.5876288659793815,0.7107231920199502,0.6433408577878104,original,SKAB,param_search,42,3,3,probabilistic_suffix_tree,3,3,1.0,22,148,292,0.08968058968058969
0.7946666666666666,0.593939393939394,0.7331670822942643,0.65625,original,SKAB,param_search,42,3,3,probabilistic_suffix_tree,4,1,1.0,22,293,540,0.08377288240769469
0.7946666666666666,0.593939393939394,0.7331670822942643,0.65625,original,SKAB,param_search,42,3,3,probabilistic_suffix_tree,4,2,1.0,22,293,540,0.08377288240769469
0.7946666666666666,0.593939393939394,0.7331670822942643,0.65625,original,SKAB,param_search,42,3,3,probabilistic_suffix_tree,4,3,1.0,22,293,540,0.08377288240769469
0.52,0.3577163247100803,1.0,0.5269382391590013,original,SKAB,param_search,42,3,4,probabilistic_suffix_tree,2,1,1.0,35,108,245,0.06481481481481481
0.52,0.3577163247100803,1.0,0.5269382391590013,original,SKAB,param_search,42,3,4,probabilistic_suffix_tree,2,2,1.0,35,108,245,0.06481481481481481
0.52,0.3577163247100803,1.0,0.5269382391590013,original,SKAB,param_search,42,3,4,probabilistic_suffix_tree,2,3,1.0,35,108,245,0.06481481481481481
0.52,0.3577163247100803,1.0,0.5269382391590013,original,SKAB,param_search,42,3,4,probabilistic_suffix_tree,3,1,1.0,35,246,501,0.05818815331010453
0.52,0.3577163247100803,1.0,0.5269382391590013,original,SKAB,param_search,42,3,4,probabilistic_suffix_tree,3,2,1.0,35,246,501,0.05818815331010453
0.52,0.3577163247100803,1.0,0.5269382391590013,original,SKAB,param_search,42,3,4,probabilistic_suffix_tree,3,3,1.0,35,246,501,0.05818815331010453
0.6713333333333333,0.44854586129753915,1.0,0.6193050193050194,original,SKAB,param_search,42,3,4,probabilistic_suffix_tree,4,1,1.0,35,502,946,0.05384177575412635
0.6713333333333333,0.44854586129753915,1.0,0.6193050193050194,original,SKAB,param_search,42,3,4,probabilistic_suffix_tree,4,2,1.0,35,502,946,0.05384177575412635
0.6713333333333333,0.44854586129753915,1.0,0.6193050193050194,original,SKAB,param_search,42,3,4,probabilistic_suffix_tree,4,3,1.0,35,502,946,0.05384177575412635
0.516,0.35581188997338065,1.0,0.524869109947644,original,SKAB,param_search,42,3,5,probabilistic_suffix_tree,2,1,1.0,52,180,436,0.04658119658119658
0.516,0.35581188997338065,1.0,0.524869109947644,original,SKAB,param_search,42,3,5,probabilistic_suffix_tree,2,2,1.0,52,180,436,0.04658119658119658
0.516,0.35581188997338065,1.0,0.524869109947644,original,SKAB,param_search,42,3,5,probabilistic_suffix_tree,2,3,1.0,52,180,436,0.04658119658119658
0.5153333333333333,0.3554964539007092,1.0,0.5245258338783518,original,SKAB,param_search,42,3,5,probabilistic_suffix_tree,3,1,1.0,52,437,904,0.039781728568913925
