dataset,scenario,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,dirichlet_alpha,dirichlet_prior_mode,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,0.01,backoff,0.25,0.0,0.07692307692307693,0.0,1.0,0.0,0.14285714285714285,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,0.01,uniform,0.25,0.0,0.07692307692307693,0.0,1.0,0.0,0.14285714285714285,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,0.01,unigram,0.25,0.0,0.07692307692307693,0.0,1.0,0.0,0.14285714285714285,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,0.05,backoff,0.25,0.0,0.07692307692307693,0.0,1.0,0.0,0.14285714285714285,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,0.05,uniform,0.25,0.0,0.07692307692307693,0.0,1.0,0.0,0.14285714285714285,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,0.05,unigram,0.25,0.0,0.07692307692307693,0.0,1.0,0.0,0.14285714285714285,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,0.1,backoff,0.25,0.0,0.07692307692307693,0.0,1.0,0.0,0.14285714285714285,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,0.1,uniform,0.25,0.0,0.07692307692307693,0.0,1.0,0.0,0.14285714285714285,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,0.1,unigram,0.25,0.0,0.07692307692307693,0.0,1.0,0.0,0.14285714285714285,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,0.5,backoff,0.25,0.0,0.07692307692307693,0.0,1.0,0.0,0.14285714285714285,0.0,0.023245060949978982,366.0,553.0
