search_stage,merge_alpha,min_state_count,smoothing_alpha,max_pattern_distance,distance_penalty,reliability_constant,threshold,normal_states_before,normal_states_after,anomaly_states_before,anomaly_states_after,validation_accuracy,validation_precision,validation_recall,validation_f1_score,validation_unique_score_count,validation_predicted_anomaly_count,validation_normal_score_mean,validation_anomaly_score_mean,validation_score_mean_gap,validation_mapping_disagreement_count,validation_normal_distance_mean,validation_anomaly_distance_mean,validation_reliability_mean,validation_shared_support_mean
distance_and_reliability,0.1,2,0.1,,0.0,5.0,-2.4738056178563186,49,19,42,21,0.20098039215686275,0.06896551724137931,0.9230769230769231,0.12834224598930483,82,174,-0.14026726711001652,-0.7189556928473011,-0.5786884257372846,140,0.44607843137254904,0.45098039215686275,0.6549308790757001,21.333333333333332
distance_and_reliability,0.1,2,0.1,,0.0,10.0,-0.34580827723124247,49,19,42,21,0.38235294117647056,0.06870229007633588,0.6923076923076923,0.125,82,131,-0.09208126953287593,-0.6196451564818287,-0.5275638869489527,140,0.44607843137254904,0.45098039215686275,0.5428123545196385,21.333333333333332
distance_and_reliability,0.1,2,0.1,,0.0,20.0,-1.0203254117887948,49,19,42,21,0.2549019607843137,0.06832298136645963,0.8461538461538461,0.12643678160919541,82,161,-0.051679918323353426,-0.49853354375187,-0.44685362542851653,140,0.44607843137254904,0.45098039215686275,0.41434432371605906,21.333333333333332
distance_and_reliability,0.1,2,0.1,,0.25,0.0,-2.875462524132058,49,19,42,21,0.24019607843137256,0.07228915662650602,0.9230769230769231,0.1340782122905028,93,166,-0.43740093676231856,-1.2235508907719324,-0.7861499540096137,140,0.44607843137254904,0.45098039215686275,1.0,21.333333333333332
distance_and_reliability,0.1,2,0.1,,0.25,1.0,-2.635840647121053,49,19,42,21,0.21568627450980393,0.07017543859649122,0.9230769230769231,0.13043478260869565,92,171,-0.2489294939546856,-0.9024743540346951,-0.6535448600800096,140,0.44607843137254904,0.45098039215686275,0.8353222553314785,21.333333333333332
distance_and_reliability,0.1,2,0.1,,0.25,2.0,-0.5420757979702167,49,19,42,21,0.4215686274509804,0.07317073170731707,0.6923076923076923,0.1323529411764706,92,123,-0.2003982527489197,-0.8444795892211571,-0.6440813364722373,140,0.44607843137254904,0.45098039215686275,0.7693919258152081,21.333333333333332
distance_and_reliability,0.1,2,0.1,,0.25,5.0,-2.4738056178563186,49,19,42,21,0.20588235294117646,0.06936416184971098,0.9230769230769231,0.12903225806451613,92,173,-0.1335328415727726,-0.7425086650180617,-0.6089758234452891,140,0.44607843137254904,0.45098039215686275,0.6549308790757001,21.333333333333332
distance_and_reliability,0.1,2,0.1,,0.25,10.0,-0.3881469869086618,49,19,42,21,0.38235294117647056,0.06870229007633588,0.6923076923076923,0.125,92,131,-0.08514829438149182,-0.6389800318063212,-0.5538317374248294,140,0.44607843137254904,0.45098039215686275,0.5428123545196385,21.333333333333332
distance_and_reliability,0.1,2,0.1,,0.25,20.0,-1.0203254117887948,49,19,42,21,0.2549019607843137,0.06832298136645963,0.8461538461538461,0.12643678160919541,92,161,-0.045059193974087225,-0.512967484698286,-0.4679082907241988,140,0.44607843137254904,0.45098039215686275,0.41434432371605906,21.333333333333332
distance_and_reliability,0.1,2,0.1,,0.5,0.0,-2.875462524132058,49,19,42,21,0.24019607843137256,0.07228915662650602,0.9230769230769231,0.1340782122905028,93,166,-0.4351103608460882,-1.2572047369257786,-0.8220943760796904,140,0.44607843137254904,0.45098039215686275,1.0,21.333333333333332
distance_and_reliability,0.1,2,0.1,,0.5,1.0,-2.635840647121053,49,19,42,21,0.22549019607843138,0.07100591715976332,0.9230769230769231,0.13186813186813187,92,169,-0.24354330207744573,-0.9322281005417377,-0.6886847984642919,140,0.44607843137254904,0.45098039215686275,0.8353222553314785,21.333333333333332
distance_and_reliability,0.1,2,0.1,,0.5,2.0,-0.5802198519203702,49,19,42,21,0.4166666666666667,0.07258064516129033,0.6923076923076923,0.13138686131386862,92,124,-0.19435930905121326,-0.872098907680039,-0.6777395986288257,140,0.44607843137254904,0.45098039215686275,0.7693919258152081,21.333333333333332
distance_and_reliability,0.1,2,0.1,,0.5,5.0,-2.4738056178563186,49,19,42,21,0.2107843137254902,0.06976744186046512,0.9230769230769231,0.12972972972972974,92,172,-0.1267984160355286,-0.7660616371888224,-0.6392632211532938,140,0.44607843137254904,0.45098039215686275,0.6549308790757001,21.333333333333332
distance_and_reliability,0.1,2,0.1,,0.5,10.0,-0.4304856965860811,49,19,42,21,0.38235294117647056,0.06870229007633588,0.6923076923076923,0.125,92,131,-0.0782153192301077,-0.658314907130814,-0.5800995879007063,140,0.44607843137254904,0.45098039215686275,0.5428123545196385,21.333333333333332
distance_and_reliability,0.1,2,0.1,,0.5,20.0,-1.0203254117887948,49,19,42,21,0.2549019607843137,0.06832298136645963,0.8461538461538461,0.12643678160919541,92,161,-0.03843846962482099,-0.527401425644702,-0.48896295601988105,140,0.44607843137254904,0.45098039215686275,0.41434432371605906,21.333333333333332
