dataset,model,fold,seed,scenario,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,selected_threshold,validation_f1,inner_splitter,inner_split_id,inner_train_file_count,inner_validation_file_count,test_file_count,sample_count,actual_anomaly_count,unseen_count,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count,accuracy,precision,recall,f1_score
SKAB,dual_alergia_state_merging,4,999,original,4,3,0.01,10,0.1,-0.07849627397162195,0.536986301369863,StratifiedGroupKFold,1,11,2,3,1095,416,2,37,23,49,0.09262759924385633,30,21,45,0.10204081632653061,67,44,94,0.4465753424657534,0.40124740124740127,0.9278846153846154,0.5602322206095791
SKAB,dual_alergia_state_merging,4,999,gaussian_noise,4,3,0.01,10,0.1,-0.07849627397162195,0.536986301369863,StratifiedGroupKFold,1,11,2,3,1095,416,2,37,23,49,0.09262759924385633,30,21,45,0.10204081632653061,67,44,94,0.4520547945205479,0.40336134453781514,0.9230769230769231,0.5614035087719298
SKAB,dual_alergia_state_merging,4,999,unseen_data,4,3,0.01,10,0.1,-0.07849627397162195,0.536986301369863,StratifiedGroupKFold,1,11,2,3,2,0,2,37,23,49,0.09262759924385633,30,21,45,0.10204081632653061,67,44,94,0.5,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,5,42,original,4,3,0.01,10,1.0,-0.7650769117202065,0.5348189415041783,StratifiedGroupKFold,1,10,2,4,1118,417,0,39,31,55,0.05723204994797086,29,23,41,0.07750472589792061,68,54,96,0.38014311270125223,0.3705440900562852,0.947242206235012,0.5327039784221174
SKAB,dual_alergia_state_merging,5,42,gaussian_noise,4,3,0.01,10,1.0,-0.7650769117202065,0.5348189415041783,StratifiedGroupKFold,1,10,2,4,1118,417,0,39,31,55,0.05723204994797086,29,23,41,0.07750472589792061,68,54,96,0.3810375670840787,0.37209302325581395,0.9592326139088729,0.5361930294906166
SKAB,dual_alergia_state_merging,5,42,unseen_data,4,3,0.01,10,1.0,-0.7650769117202065,0.5348189415041783,StratifiedGroupKFold,1,10,2,4,0,0,0,39,31,55,0.05723204994797086,29,23,41,0.07750472589792061,68,54,96,0.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,5,123,original,4,3,0.01,10,1.0,-0.021662718826137198,0.5784114052953157,StratifiedGroupKFold,1,10,2,4,1118,417,0,39,31,55,0.05723204994797086,29,23,41,0.07750472589792061,68,54,96,0.5080500894454383,0.29153605015673983,0.22302158273381295,0.25271739130434784
SKAB,dual_alergia_state_merging,5,123,gaussian_noise,4,3,0.01,10,1.0,-0.021662718826137198,0.5784114052953157,StratifiedGroupKFold,1,10,2,4,1118,417,0,39,31,55,0.05723204994797086,29,23,41,0.07750472589792061,68,54,96,0.5053667262969589,0.2861635220125786,0.2182254196642686,0.24761904761904763
SKAB,dual_alergia_state_merging,5,123,unseen_data,4,3,0.01,10,1.0,-0.021662718826137198,0.5784114052953157,StratifiedGroupKFold,1,10,2,4,0,0,0,39,31,55,0.05723204994797086,29,23,41,0.07750472589792061,68,54,96,0.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,5,2026,original,4,3,0.01,10,1.0,-0.021662718826137198,0.5784114052953157,StratifiedGroupKFold,1,10,2,4,1118,417,0,39,31,55,0.05723204994797086,29,23,41,0.07750472589792061,68,54,96,0.5080500894454383,0.29153605015673983,0.22302158273381295,0.25271739130434784
SKAB,dual_alergia_state_merging,5,2026,gaussian_noise,4,3,0.01,10,1.0,-0.021662718826137198,0.5784114052953157,StratifiedGroupKFold,1,10,2,4,1118,417,0,39,31,55,0.05723204994797086,29,23,41,0.07750472589792061,68,54,96,0.5161001788908766,0.2973856209150327,0.2182254196642686,0.2517289073305671
SKAB,dual_alergia_state_merging,5,2026,unseen_data,4,3,0.01,10,1.0,-0.021662718826137198,0.5784114052953157,StratifiedGroupKFold,1,10,2,4,0,0,0,39,31,55,0.05723204994797086,29,23,41,0.07750472589792061,68,54,96,0.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,5,7,original,4,3,0.01,10,1.0,-0.7650769117202065,0.5348189415041783,StratifiedGroupKFold,1,10,2,4,1118,417,0,39,31,55,0.05723204994797086,29,23,41,0.07750472589792061,68,54,96,0.38014311270125223,0.3705440900562852,0.947242206235012,0.5327039784221174
SKAB,dual_alergia_state_merging,5,7,gaussian_noise,4,3,0.01,10,1.0,-0.7650769117202065,0.5348189415041783,StratifiedGroupKFold,1,10,2,4,1118,417,0,39,31,55,0.05723204994797086,29,23,41,0.07750472589792061,68,54,96,0.37656529516994636,0.3684210526315789,0.9400479616306955,0.5293720459149224
SKAB,dual_alergia_state_merging,5,7,unseen_data,4,3,0.01,10,1.0,-0.7650769117202065,0.5348189415041783,StratifiedGroupKFold,1,10,2,4,0,0,0,39,31,55,0.05723204994797086,29,23,41,0.07750472589792061,68,54,96,0.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,5,999,original,4,3,0.01,10,1.0,-0.7650769117202065,0.5348189415041783,StratifiedGroupKFold,1,10,2,4,1118,417,0,39,31,55,0.05723204994797086,29,23,41,0.07750472589792061,68,54,96,0.38014311270125223,0.3705440900562852,0.947242206235012,0.5327039784221174
SKAB,dual_alergia_state_merging,5,999,gaussian_noise,4,3,0.01,10,1.0,-0.7650769117202065,0.5348189415041783,StratifiedGroupKFold,1,10,2,4,1118,417,0,39,31,55,0.05723204994797086,29,23,41,0.07750472589792061,68,54,96,0.38014311270125223,0.3710280373831776,0.9520383693045563,0.5339609952925353
SKAB,dual_alergia_state_merging,5,999,unseen_data,4,3,0.01,10,1.0,-0.7650769117202065,0.5348189415041783,StratifiedGroupKFold,1,10,2,4,0,0,0,39,31,55,0.05723204994797086,29,23,41,0.07750472589792061,68,54,96,0.0,0.0,0.0,0.0
