dataset,scenario,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,time_decay_enabled,time_decay_rate,time_decay_min_weight,time_decay_candidate,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,original,3,0.1,avg_negative_log,5,4.2,,True,0.99,0.01,decay_rate_0.99_min_0.01,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.2,,True,0.99,0.05,decay_rate_0.99_min_0.05,0.9609756097560975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.2,,True,0.995,0.001,decay_rate_0.995_min_0.001,0.9609756097560975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.2,,True,0.995,0.01,decay_rate_0.995_min_0.01,0.9609756097560975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.5,,True,0.95,0.001,decay_rate_0.95_min_0.001,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.5,,True,0.95,0.01,decay_rate_0.95_min_0.01,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.5,,True,0.95,0.05,decay_rate_0.95_min_0.05,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.5,,True,0.98,0.001,decay_rate_0.98_min_0.001,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.5,,True,0.98,0.01,decay_rate_0.98_min_0.01,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.5,,True,0.98,0.05,decay_rate_0.98_min_0.05,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.5,,True,0.99,0.001,decay_rate_0.99_min_0.001,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.5,,True,0.99,0.01,decay_rate_0.99_min_0.01,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.5,,True,0.99,0.05,decay_rate_0.99_min_0.05,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.5,,True,0.995,0.001,decay_rate_0.995_min_0.001,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.5,,True,0.995,0.01,decay_rate_0.995_min_0.01,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.5,,True,0.995,0.05,decay_rate_0.995_min_0.05,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.5,,True,0.999,0.001,decay_rate_0.999_min_0.001,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.5,,True,0.999,0.01,decay_rate_0.999_min_0.01,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,4.5,,True,0.999,0.05,decay_rate_0.999_min_0.05,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
SKAB,original,3,0.5,avg_negative_log,10,0.3567,,True,0.999,0.001,decay_rate_0.999_min_0.001,0.6411029194154871,0.07329370754838638,0.5503114671136001,0.1263447332480893,0.7403515021968887,0.2720655262400246,0.5740234651067325,0.11112497294148761,0.05091218372849919,233.6,423.2
