accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,num_states,vocab_size,num_transitions,transition_density
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,999,4,3,2,0.07,184,65,301,0.02516722408026756
0.16097560975609757,0.03910614525139665,1.0,0.07526881720430108,original,BATADAL,markov_sweep,42,4,3,2,0.06,184,65,301,0.02516722408026756
0.18536585365853658,0.040229885057471264,1.0,0.07734806629834254,gaussian_noise,BATADAL,markov_sweep,42,4,3,2,0.06,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,42,4,3,2,0.06,184,65,301,0.02516722408026756
0.16097560975609757,0.03910614525139665,1.0,0.07526881720430108,original,BATADAL,markov_sweep,123,4,3,2,0.06,184,65,301,0.02516722408026756
0.1902439024390244,0.03508771929824561,0.8571428571428571,0.06741573033707865,gaussian_noise,BATADAL,markov_sweep,123,4,3,2,0.06,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,123,4,3,2,0.06,184,65,301,0.02516722408026756
0.16097560975609757,0.03910614525139665,1.0,0.07526881720430108,original,BATADAL,markov_sweep,2026,4,3,2,0.06,184,65,301,0.02516722408026756
0.17073170731707318,0.03954802259887006,1.0,0.07608695652173914,gaussian_noise,BATADAL,markov_sweep,2026,4,3,2,0.06,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,2026,4,3,2,0.06,184,65,301,0.02516722408026756
0.16097560975609757,0.03910614525139665,1.0,0.07526881720430108,original,BATADAL,markov_sweep,7,4,3,2,0.06,184,65,301,0.02516722408026756
0.18536585365853658,0.040229885057471264,1.0,0.07734806629834254,gaussian_noise,BATADAL,markov_sweep,7,4,3,2,0.06,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,7,4,3,2,0.06,184,65,301,0.02516722408026756
0.16097560975609757,0.03910614525139665,1.0,0.07526881720430108,original,BATADAL,markov_sweep,999,4,3,2,0.06,184,65,301,0.02516722408026756
0.17073170731707318,0.03954802259887006,1.0,0.07608695652173914,gaussian_noise,BATADAL,markov_sweep,999,4,3,2,0.06,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,999,4,3,2,0.06,184,65,301,0.02516722408026756
0.2048780487804878,0.041176470588235294,1.0,0.07909604519774012,original,BATADAL,markov_sweep,42,4,3,2,0.05,184,65,301,0.02516722408026756
0.21951219512195122,0.041916167664670656,1.0,0.08045977011494253,gaussian_noise,BATADAL,markov_sweep,42,4,3,2,0.05,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,42,4,3,2,0.05,184,65,301,0.02516722408026756
0.2048780487804878,0.041176470588235294,1.0,0.07909604519774012,original,BATADAL,markov_sweep,123,4,3,2,0.05,184,65,301,0.02516722408026756
0.21951219512195122,0.03067484662576687,0.7142857142857143,0.058823529411764705,gaussian_noise,BATADAL,markov_sweep,123,4,3,2,0.05,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,123,4,3,2,0.05,184,65,301,0.02516722408026756
0.2048780487804878,0.041176470588235294,1.0,0.07909604519774012,original,BATADAL,markov_sweep,2026,4,3,2,0.05,184,65,301,0.02516722408026756
0.2146341463414634,0.041666666666666664,1.0,0.08,gaussian_noise,BATADAL,markov_sweep,2026,4,3,2,0.05,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,2026,4,3,2,0.05,184,65,301,0.02516722408026756
0.2048780487804878,0.041176470588235294,1.0,0.07909604519774012,original,BATADAL,markov_sweep,7,4,3,2,0.05,184,65,301,0.02516722408026756
0.22439024390243903,0.04216867469879518,1.0,0.08092485549132948,gaussian_noise,BATADAL,markov_sweep,7,4,3,2,0.05,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,7,4,3,2,0.05,184,65,301,0.02516722408026756
0.2048780487804878,0.041176470588235294,1.0,0.07909604519774012,original,BATADAL,markov_sweep,999,4,3,2,0.05,184,65,301,0.02516722408026756
0.2097560975609756,0.04142011834319527,1.0,0.07954545454545454,gaussian_noise,BATADAL,markov_sweep,999,4,3,2,0.05,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,999,4,3,2,0.05,184,65,301,0.02516722408026756
0.2780487804878049,0.0392156862745098,0.8571428571428571,0.075,original,BATADAL,markov_sweep,42,4,3,2,0.04,184,65,301,0.02516722408026756
0.3024390243902439,0.04054054054054054,0.8571428571428571,0.07741935483870968,gaussian_noise,BATADAL,markov_sweep,42,4,3,2,0.04,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,42,4,3,2,0.04,184,65,301,0.02516722408026756
0.2780487804878049,0.0392156862745098,0.8571428571428571,0.075,original,BATADAL,markov_sweep,123,4,3,2,0.04,184,65,301,0.02516722408026756
0.2975609756097561,0.027586206896551724,0.5714285714285714,0.05263157894736842,gaussian_noise,BATADAL,markov_sweep,123,4,3,2,0.04,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,123,4,3,2,0.04,184,65,301,0.02516722408026756
0.2780487804878049,0.0392156862745098,0.8571428571428571,0.075,original,BATADAL,markov_sweep,2026,4,3,2,0.04,184,65,301,0.02516722408026756
0.28780487804878047,0.039735099337748346,0.8571428571428571,0.0759493670886076,gaussian_noise,BATADAL,markov_sweep,2026,4,3,2,0.04,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,2026,4,3,2,0.04,184,65,301,0.02516722408026756
0.2780487804878049,0.0392156862745098,0.8571428571428571,0.075,original,BATADAL,markov_sweep,7,4,3,2,0.04,184,65,301,0.02516722408026756
0.2926829268292683,0.04,0.8571428571428571,0.07643312101910828,gaussian_noise,BATADAL,markov_sweep,7,4,3,2,0.04,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,7,4,3,2,0.04,184,65,301,0.02516722408026756
0.2780487804878049,0.0392156862745098,0.8571428571428571,0.075,original,BATADAL,markov_sweep,999,4,3,2,0.04,184,65,301,0.02516722408026756
0.2975609756097561,0.040268456375838924,0.8571428571428571,0.07692307692307693,gaussian_noise,BATADAL,markov_sweep,999,4,3,2,0.04,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,999,4,3,2,0.04,184,65,301,0.02516722408026756
0.45365853658536587,0.05128205128205128,0.8571428571428571,0.0967741935483871,original,BATADAL,markov_sweep,42,4,3,2,0.03,184,65,301,0.02516722408026756
