dataset,scenario,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,dirichlet_smoothing_enabled,dirichlet_alpha,dirichlet_prior_mode,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.2,,True,5.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.2,,True,7.5,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.2,,True,10.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.2,,True,15.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.2,,True,20.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.2,,True,30.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.5,,True,5.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.5,,True,7.5,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.5,,True,10.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.5,,True,15.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.5,,True,20.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.5,,True,30.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.8,,True,5.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.8,,True,7.5,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.8,,True,10.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.8,,True,15.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.8,,True,20.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,4.8,,True,30.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.0,,True,5.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.0,,True,7.5,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.0,,True,10.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.0,,True,15.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.0,,True,20.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.0,,True,30.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.3,,True,5.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.3,,True,7.5,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.3,,True,10.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.3,,True,15.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.3,,True,20.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.3,,True,30.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.6,,True,5.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.6,,True,7.5,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.6,,True,10.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.6,,True,15.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.6,,True,20.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,5.6,,True,30.0,uniform,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,False,5.0,uniform,0.5874306830915339,0.15600291982048126,0.4800941043559663,0.1907695241510282,0.5960813878221067,0.3184045245217967,0.48696445206885786,0.1936279546002898,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,True,5.0,uniform,0.5906933318426695,0.15243233001198075,0.4816836233506496,0.1927101545439184,0.5768754487551369,0.31453268392169104,0.4796021899283126,0.19592255570432704,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,True,7.5,uniform,0.5896843999664254,0.15377519349589483,0.48172706191363096,0.1927602846506579,0.5831809974931746,0.31563596985639925,0.48233748415761807,0.1946135585971392,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,True,10.0,uniform,0.5888934314261204,0.15515846887391174,0.4815475225492885,0.1924808630391498,0.5874825411688673,0.3166419420433838,0.4840042717228139,0.19438574432408548,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,True,15.0,uniform,0.5878957311212755,0.1556613069226613,0.48040622531761484,0.1909614227193091,0.5924748652813409,0.3176977692311533,0.485618216654421,0.19379694154400465,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,True,20.0,uniform,0.5866868397111,0.15607927872352376,0.4796402397739639,0.19083908515671968,0.5962818890752396,0.31865204878002357,0.4865982693281064,0.19339699239640995,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,True,30.0,uniform,0.5861114853433625,0.1566802926355264,0.48066690587795735,0.18985649397454854,0.6027856983807641,0.3171445417630021,0.4897572449707706,0.19068505110377373,0.05091218372849919,233.6,423.2
