dataset,scenario,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,time_decay_enabled,time_decay_rate,time_decay_min_weight,time_decay_candidate,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,0.98,0.01,decay_rate_0.98_min_0.01,0.9648780487804878,0.002181529734146146,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,0.98,0.05,decay_rate_0.98_min_0.05,0.9609756097560975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,0.99,0.001,decay_rate_0.99_min_0.001,0.9619512195121951,0.005343634707367473,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,0.99,0.01,decay_rate_0.99_min_0.01,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,0.99,0.05,decay_rate_0.99_min_0.05,0.9609756097560975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,0.995,0.001,decay_rate_0.995_min_0.001,0.9590243902439024,0.002671817353683746,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,0.995,0.01,decay_rate_0.995_min_0.01,0.9590243902439024,0.002671817353683746,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,0.995,0.05,decay_rate_0.995_min_0.05,0.9648780487804878,0.002181529734146131,0.4,0.22360679774997896,0.11428571428571428,0.06388765649999399,0.17777777777777776,0.09938079899999065,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,0.999,0.001,decay_rate_0.999_min_0.001,0.9648780487804878,0.002181529734146131,0.4,0.22360679774997896,0.11428571428571428,0.06388765649999399,0.17777777777777776,0.09938079899999065,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,0.999,0.01,decay_rate_0.999_min_0.01,0.9648780487804878,0.002181529734146131,0.4,0.22360679774997896,0.11428571428571428,0.06388765649999399,0.17777777777777776,0.09938079899999065,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,0.999,0.05,decay_rate_0.999_min_0.05,0.9648780487804878,0.002181529734146131,0.4,0.22360679774997896,0.11428571428571428,0.06388765649999399,0.17777777777777776,0.09938079899999065,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,False,0.99,0.01,base_disabled,0.9648780487804878,0.002181529734146131,0.4,0.22360679774997896,0.11428571428571428,0.06388765649999399,0.17777777777777776,0.09938079899999065,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,0.95,0.001,decay_rate_0.95_min_0.001,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,0.95,0.01,decay_rate_0.95_min_0.01,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,0.95,0.05,decay_rate_0.95_min_0.05,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,0.98,0.001,decay_rate_0.98_min_0.001,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,0.98,0.01,decay_rate_0.98_min_0.01,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,0.98,0.05,decay_rate_0.98_min_0.05,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
