fold,seed,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,distance_penalty,min_anomaly_run,min_validation_recall,selected_threshold,minimum_block_length,minimum_sum_margin,baseline_selected,block_validation_precision,block_validation_recall,block_validation_f1,test_removed_true_positive_count,test_removed_false_positive_count,length_candidates,sum_margin_candidates
3,42,4,3,0.01,5,0.1,2.0,3,0.7,0.023053437022547953,3,0.0,True,0.5236907730673317,0.7023411371237458,0.6,0,0,"[3, 4, 5, 6, 8, 11]","[0.0, 0.9757132641473839, 1.7538729930472958, 2.0176494682371944, 3.289185313664706]"
3,123,4,3,0.05,2,0.1,0.0,5,0.7,-0.19576886046408415,5,17.033088821399133,False,0.47540983606557374,0.8877551020408163,0.6192170818505338,126,208,"[5, 6, 7, 8, 10, 13]","[0.0, 1.099425623775207, 2.0270114214938113, 2.3797501203371456, 2.948191005895694, 12.884295060534763, 15.99774431930182, 17.033088821399133, 38.7487760705171]"
3,2026,4,3,0.01,10,0.1,0.0,8,0.7,-3.2271176297633044,8,0.0,True,0.36621454993834773,0.9966442953020134,0.5356176735798016,0,0,"[8, 9, 10, 11, 13, 16]","[0.0, 58.51812362456839, 217.2785757284703, 239.20604152497776, 256.8596829191134, 562.3514145744095, 715.0972804020575, 867.8431462297056, 875.5641207433015]"
3,7,4,3,0.05,2,0.1,0.0,5,0.7,-0.19576886046408415,5,17.033088821399133,False,0.47540983606557374,0.8877551020408163,0.6192170818505338,126,208,"[5, 6, 7, 8, 10, 13]","[0.0, 1.099425623775207, 2.0270114214938113, 2.3797501203371456, 2.948191005895694, 12.884295060534763, 15.99774431930182, 17.033088821399133, 38.7487760705171]"
3,999,4,3,0.01,5,0.1,2.0,3,0.7,0.023053437022547953,3,0.0,True,0.5236907730673317,0.7023411371237458,0.6,0,0,"[3, 4, 5, 6, 8, 11]","[0.0, 0.9757132641473839, 1.7538729930472958, 2.0176494682371944, 3.289185313664706]"
4,42,4,3,0.01,10,0.1,0.0,5,0.7,0.012653297886790427,5,0.0,True,0.400974025974026,0.8372881355932204,0.5422612513721186,0,0,"[5, 6, 7, 8, 10, 13]","[0.0, 0.43079211493672903, 0.6751830835221075, 0.7089199340226973, 0.7631210207866732, 1.0565205571602858, 1.3499200935338984, 3.465417058601229]"
4,123,4,3,0.05,10,1.0,0.0,8,0.7,-0.11973807049218688,8,10.569931140401016,False,0.4921190893169877,0.9525423728813559,0.648960739030023,90,174,"[8, 9, 10, 11, 13, 16]","[0.0, 1.0817045635554212, 1.6458596209233907, 7.418452972054401, 10.569931140401016, 12.971814754042134, 15.896807508024796, 19.511420640872302, 25.41335157060348]"
4,2026,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,0.39228723404255317,0.9966216216216216,0.5629770992366412,12,40,"[8, 9, 10, 11, 13, 16]","[0.0, 0.4421931749385602, 0.657105777796841, 3.04609490877944, 3.52534404530071, 6.860498144886188, 9.004059355189632, 13.525196999874858, 20.420767441402656]"
4,7,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,0.39228723404255317,0.9966216216216216,0.5629770992366412,12,40,"[8, 9, 10, 11, 13, 16]","[0.0, 0.4421931749385602, 0.657105777796841, 3.04609490877944, 3.52534404530071, 6.860498144886188, 9.004059355189632, 13.525196999874858, 20.420767441402656]"
4,999,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,0.39228723404255317,0.9966216216216216,0.5629770992366412,12,40,"[8, 9, 10, 11, 13, 16]","[0.0, 0.4421931749385602, 0.657105777796841, 3.04609490877944, 3.52534404530071, 6.860498144886188, 9.004059355189632, 13.525196999874858, 20.420767441402656]"
5,42,4,3,0.01,10,1.0,0.0,7,0.7,-0.6885258629643474,7,0.0,True,0.4037900874635568,0.9421768707482994,0.5653061224489796,0,0,"[7, 8, 9, 10, 12, 15]","[0.0, 2.9765712351360225, 3.775086377999545, 7.316405381222767, 13.358340099714074, 21.683673956345245, 22.313888573483357, 50.98381894129118, 99.78809468048023]"
5,123,4,3,0.01,10,1.0,0.0,4,0.7,-0.021662718826137198,4,5.342334251964811,False,0.4708904109589041,0.935374149659864,0.6264236902050114,68,117,"[4, 5, 6, 7, 9, 12]","[0.0, 0.37534925120100526, 0.5117213440872428, 1.0572097156321931, 1.8072562265064998, 5.342334251964811, 5.722655702193896, 6.102977152422982, 9.408404044101335]"
5,2026,4,3,0.01,10,1.0,0.0,4,0.7,-0.021662718826137198,4,5.342334251964811,False,0.4708904109589041,0.935374149659864,0.6264236902050114,68,117,"[4, 5, 6, 7, 9, 12]","[0.0, 0.37534925120100526, 0.5117213440872428, 1.0572097156321931, 1.8072562265064998, 5.342334251964811, 5.722655702193896, 6.102977152422982, 9.408404044101335]"
5,7,4,3,0.01,10,1.0,0.0,7,0.7,-0.6885258629643474,7,0.0,True,0.4037900874635568,0.9421768707482994,0.5653061224489796,0,0,"[7, 8, 9, 10, 12, 15]","[0.0, 2.9765712351360225, 3.775086377999545, 7.316405381222767, 13.358340099714074, 21.683673956345245, 22.313888573483357, 50.98381894129118, 99.78809468048023]"
5,999,4,3,0.01,10,1.0,0.0,7,0.7,-0.6885258629643474,7,0.0,True,0.4037900874635568,0.9421768707482994,0.5653061224489796,0,0,"[7, 8, 9, 10, 12, 15]","[0.0, 2.9765712351360225, 3.775086377999545, 7.316405381222767, 13.358340099714074, 21.683673956345245, 22.313888573483357, 50.98381894129118, 99.78809468048023]"
