dataset,model,fold,seed,scenario,window_size,alphabet_size,normal_merge_alpha,normal_min_state_count,normal_smoothing_alpha,anomaly_merge_alpha,anomaly_min_state_count,anomaly_smoothing_alpha,normal_distance_penalty,anomaly_distance_penalty,selected_threshold,min_anomaly_run,validation_f1,validation_recall,validation_recall_constraint_met,selected_pair_shared_parameters,final_training_scope,inner_splitter,inner_split_id,inner_train_file_count,inner_validation_file_count,test_file_count,sample_count,actual_anomaly_count,unseen_count,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count,accuracy,precision,recall,f1_score
SKAB,class_specific_dual_alergia,3,123,gaussian_noise,4,3,0.01,2,0.5,0.01,10,1.0,0.0,0.0,-0.3817808650698087,12,0.5426515930113053,0.8979591836734694,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1111,398,1,36,15,36,0.16,31,24,51,0.08854166666666667,67,39,87,0.5166516651665166,0.403068340306834,0.7261306532663316,0.5183856502242152
SKAB,class_specific_dual_alergia,3,123,unseen_data,4,3,0.01,2,0.5,0.01,10,1.0,0.0,0.0,-0.3817808650698087,12,0.5426515930113053,0.8979591836734694,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1,0,1,36,15,36,0.16,31,24,51,0.08854166666666667,67,39,87,0.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,3,2026,original,4,3,0.01,10,1.0,0.05,10,0.1,0.0,0.0,-1.8887517352153649,5,0.5284039675383229,0.9832214765100671,True,False,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,1111,398,1,38,27,55,0.07544581618655692,28,24,50,0.08680555555555555,66,51,105,0.3627362736273627,0.35934664246823955,0.9949748743718593,0.528
SKAB,class_specific_dual_alergia,3,2026,gaussian_noise,4,3,0.01,10,1.0,0.05,10,0.1,0.0,0.0,-1.8887517352153649,5,0.5284039675383229,0.9832214765100671,True,False,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,1111,398,1,38,27,55,0.07544581618655692,28,24,50,0.08680555555555555,66,51,105,0.36633663366336633,0.36065573770491804,0.9949748743718593,0.5294117647058824
SKAB,class_specific_dual_alergia,3,2026,unseen_data,4,3,0.01,10,1.0,0.05,10,0.1,0.0,0.0,-1.8887517352153649,5,0.5284039675383229,0.9832214765100671,True,False,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,1,0,1,38,27,55,0.07544581618655692,28,24,50,0.08680555555555555,66,51,105,0.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,3,7,original,4,3,0.01,2,0.5,0.01,10,1.0,0.0,0.0,-0.3817808650698087,12,0.5426515930113053,0.8979591836734694,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1111,398,1,36,15,36,0.16,31,24,51,0.08854166666666667,67,39,87,0.49954995499549953,0.39266304347826086,0.7261306532663316,0.5097001763668431
SKAB,class_specific_dual_alergia,3,7,gaussian_noise,4,3,0.01,2,0.5,0.01,10,1.0,0.0,0.0,-0.3817808650698087,12,0.5426515930113053,0.8979591836734694,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1111,398,1,36,15,36,0.16,31,24,51,0.08854166666666667,67,39,87,0.5094509450945095,0.3986206896551724,0.7261306532663316,0.5146927871772039
SKAB,class_specific_dual_alergia,3,7,unseen_data,4,3,0.01,2,0.5,0.01,10,1.0,0.0,0.0,-0.3817808650698087,12,0.5426515930113053,0.8979591836734694,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1,0,1,36,15,36,0.16,31,24,51,0.08854166666666667,67,39,87,0.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,3,999,original,4,3,0.1,5,0.1,0.01,5,1.0,0.0,0.0,-0.0045685111123313915,1,0.601078167115903,0.745819397993311,True,False,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,1111,398,1,38,23,51,0.09640831758034027,30,18,40,0.12345679012345678,68,41,91,0.6138613861386139,0.46790890269151136,0.5678391959798995,0.5130533484676504
SKAB,class_specific_dual_alergia,3,999,gaussian_noise,4,3,0.1,5,0.1,0.01,5,1.0,0.0,0.0,-0.0045685111123313915,1,0.601078167115903,0.745819397993311,True,False,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,1111,398,1,38,23,51,0.09640831758034027,30,18,40,0.12345679012345678,68,41,91,0.6165616561656165,0.4713114754098361,0.5778894472361809,0.5191873589164786
SKAB,class_specific_dual_alergia,3,999,unseen_data,4,3,0.1,5,0.1,0.01,5,1.0,0.0,0.0,-0.0045685111123313915,1,0.601078167115903,0.745819397993311,True,False,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,1,0,1,38,23,51,0.09640831758034027,30,18,40,0.12345679012345678,68,41,91,0.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,4,42,original,4,3,0.01,5,1.0,0.05,10,0.5,0.0,0.5,-0.006116227017436193,5,0.5434543454345434,0.8372881355932204,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1095,416,2,35,16,35,0.13671875,31,26,53,0.07840236686390532,66,42,88,0.5251141552511416,0.4400921658986175,0.9182692307692307,0.5950155763239875
SKAB,class_specific_dual_alergia,4,42,gaussian_noise,4,3,0.01,5,1.0,0.05,10,0.5,0.0,0.5,-0.006116227017436193,5,0.5434543454345434,0.8372881355932204,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1095,416,2,35,16,35,0.13671875,31,26,53,0.07840236686390532,66,42,88,0.5342465753424658,0.4447058823529412,0.9086538461538461,0.5971563981042654
SKAB,class_specific_dual_alergia,4,42,unseen_data,4,3,0.01,5,1.0,0.05,10,0.5,0.0,0.5,-0.006116227017436193,5,0.5434543454345434,0.8372881355932204,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,35,16,35,0.13671875,31,26,53,0.07840236686390532,66,42,88,1.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,4,123,original,4,3,0.01,5,1.0,0.05,2,0.1,0.0,2.0,-0.20643007034046912,7,0.5813492063492064,0.9932203389830508,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1095,416,2,35,16,36,0.140625,31,10,32,0.32,66,26,68,0.5041095890410959,0.42857142857142855,0.9158653846153846,0.5839080459770115
SKAB,class_specific_dual_alergia,4,123,gaussian_noise,4,3,0.01,5,1.0,0.05,2,0.1,0.0,2.0,-0.20643007034046912,7,0.5813492063492064,0.9932203389830508,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1095,416,2,35,16,36,0.140625,31,10,32,0.32,66,26,68,0.5105022831050229,0.4321266968325792,0.9182692307692307,0.5876923076923077
SKAB,class_specific_dual_alergia,4,123,unseen_data,4,3,0.01,5,1.0,0.05,2,0.1,0.0,2.0,-0.20643007034046912,7,0.5813492063492064,0.9932203389830508,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,35,16,36,0.140625,31,10,32,0.32,66,26,68,1.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,4,2026,original,4,3,0.1,2,0.1,0.01,10,1.0,0.0,0.25,-0.1434021186888391,8,0.5570342205323194,0.9898648648648649,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1095,416,2,35,18,42,0.12962962962962962,30,17,49,0.1695501730103806,65,35,91,0.5388127853881278,0.44458281444582815,0.8581730769230769,0.5857260049220673
SKAB,class_specific_dual_alergia,4,2026,gaussian_noise,4,3,0.1,2,0.1,0.01,10,1.0,0.0,0.25,-0.1434021186888391,8,0.5570342205323194,0.9898648648648649,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1095,416,2,35,18,42,0.12962962962962962,30,17,49,0.1695501730103806,65,35,91,0.5607305936073059,0.45806451612903226,0.8533653846153846,0.5961376994122586
SKAB,class_specific_dual_alergia,4,2026,unseen_data,4,3,0.1,2,0.1,0.01,10,1.0,0.0,0.25,-0.1434021186888391,8,0.5570342205323194,0.9898648648648649,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,35,18,42,0.12962962962962962,30,17,49,0.1695501730103806,65,35,91,0.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,4,7,original,4,3,0.1,2,0.1,0.01,10,1.0,0.0,0.25,-0.1434021186888391,8,0.5570342205323194,0.9898648648648649,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1095,416,2,35,18,42,0.12962962962962962,30,17,49,0.1695501730103806,65,35,91,0.5388127853881278,0.44458281444582815,0.8581730769230769,0.5857260049220673
