accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,num_states,vocab_size,num_transitions,transition_density
0.9609756097560975,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,42,4,3,3,0.01,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,42,4,3,3,0.01,366,65,553,0.023245060949978982
0.9609756097560975,0.0,0.0,0.0,original,BATADAL,markov_sweep,123,4,3,3,0.01,366,65,553,0.023245060949978982
0.9609756097560975,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,123,4,3,3,0.01,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,123,4,3,3,0.01,366,65,553,0.023245060949978982
0.9609756097560975,0.0,0.0,0.0,original,BATADAL,markov_sweep,2026,4,3,3,0.01,366,65,553,0.023245060949978982
0.9609756097560975,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,2026,4,3,3,0.01,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,2026,4,3,3,0.01,366,65,553,0.023245060949978982
0.9609756097560975,0.0,0.0,0.0,original,BATADAL,markov_sweep,7,4,3,3,0.01,366,65,553,0.023245060949978982
0.9609756097560975,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,7,4,3,3,0.01,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,7,4,3,3,0.01,366,65,553,0.023245060949978982
0.9609756097560975,0.0,0.0,0.0,original,BATADAL,markov_sweep,999,4,3,3,0.01,366,65,553,0.023245060949978982
0.9609756097560975,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,999,4,3,3,0.01,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,999,4,3,3,0.01,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,42,4,3,3,0.005,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,42,4,3,3,0.005,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,42,4,3,3,0.005,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,123,4,3,3,0.005,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,123,4,3,3,0.005,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,123,4,3,3,0.005,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,2026,4,3,3,0.005,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,2026,4,3,3,0.005,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,2026,4,3,3,0.005,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,7,4,3,3,0.005,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,7,4,3,3,0.005,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,7,4,3,3,0.005,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,999,4,3,3,0.005,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,999,4,3,3,0.005,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,999,4,3,3,0.005,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,42,4,3,3,0.001,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,42,4,3,3,0.001,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,42,4,3,3,0.001,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,123,4,3,3,0.001,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,123,4,3,3,0.001,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,123,4,3,3,0.001,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,2026,4,3,3,0.001,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,2026,4,3,3,0.001,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,2026,4,3,3,0.001,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,7,4,3,3,0.001,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,7,4,3,3,0.001,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,7,4,3,3,0.001,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,999,4,3,3,0.001,366,65,553,0.023245060949978982
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,999,4,3,3,0.001,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,999,4,3,3,0.001,366,65,553,0.023245060949978982
