accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,model_variant,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,anomaly_threshold,scoring_mode,pst_nll_epsilon,pst_score_window,num_states,num_contexts,num_transitions,transition_density
0.5968645016797313,0.47291361639824303,1.0,0.6421471172962226,original,SKAB,fold_3,2026,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,153,429,880,0.013407072230601643
0.5968645016797313,0.47291361639824303,1.0,0.6421471172962226,gaussian_noise,SKAB,fold_3,2026,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,153,429,880,0.013407072230601643
0.2641509433962264,0.2641509433962264,1.0,0.417910447761194,unseen_data,SKAB,fold_3,2026,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,153,429,880,0.013407072230601643
0.5968645016797313,0.47291361639824303,1.0,0.6421471172962226,original,SKAB,fold_3,7,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,153,429,880,0.013407072230601643
0.5968645016797313,0.47291361639824303,1.0,0.6421471172962226,gaussian_noise,SKAB,fold_3,7,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,153,429,880,0.013407072230601643
0.2641509433962264,0.2641509433962264,1.0,0.417910447761194,unseen_data,SKAB,fold_3,7,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,153,429,880,0.013407072230601643
0.5968645016797313,0.47291361639824303,1.0,0.6421471172962226,original,SKAB,fold_3,999,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,153,429,880,0.013407072230601643
0.5968645016797313,0.47291361639824303,1.0,0.6421471172962226,gaussian_noise,SKAB,fold_3,999,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,153,429,880,0.013407072230601643
0.2641509433962264,0.2641509433962264,1.0,0.417910447761194,unseen_data,SKAB,fold_3,999,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,153,429,880,0.013407072230601643
0.3518728717366629,0.3018292682926829,0.6366559485530546,0.4095139607032058,original,SKAB,fold_4,42,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,161,441,894,0.01259137195250771
0.3507377979568672,0.3013698630136986,0.6366559485530546,0.4090909090909091,gaussian_noise,SKAB,fold_4,42,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,161,441,894,0.01259137195250771
0.07692307692307693,0.07692307692307693,1.0,0.14285714285714285,unseen_data,SKAB,fold_4,42,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,161,441,894,0.01259137195250771
0.3518728717366629,0.3018292682926829,0.6366559485530546,0.4095139607032058,original,SKAB,fold_4,123,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,161,441,894,0.01259137195250771
0.3518728717366629,0.3018292682926829,0.6366559485530546,0.4095139607032058,gaussian_noise,SKAB,fold_4,123,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,161,441,894,0.01259137195250771
0.07692307692307693,0.07692307692307693,1.0,0.14285714285714285,unseen_data,SKAB,fold_4,123,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,161,441,894,0.01259137195250771
0.3518728717366629,0.3018292682926829,0.6366559485530546,0.4095139607032058,original,SKAB,fold_4,2026,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,161,441,894,0.01259137195250771
0.3518728717366629,0.3018292682926829,0.6366559485530546,0.4095139607032058,gaussian_noise,SKAB,fold_4,2026,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,161,441,894,0.01259137195250771
0.07692307692307693,0.07692307692307693,1.0,0.14285714285714285,unseen_data,SKAB,fold_4,2026,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,161,441,894,0.01259137195250771
0.3518728717366629,0.3018292682926829,0.6366559485530546,0.4095139607032058,original,SKAB,fold_4,7,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,161,441,894,0.01259137195250771
0.3518728717366629,0.3018292682926829,0.6366559485530546,0.4095139607032058,gaussian_noise,SKAB,fold_4,7,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,161,441,894,0.01259137195250771
0.07692307692307693,0.07692307692307693,1.0,0.14285714285714285,unseen_data,SKAB,fold_4,7,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,161,441,894,0.01259137195250771
0.3518728717366629,0.3018292682926829,0.6366559485530546,0.4095139607032058,original,SKAB,fold_4,999,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,161,441,894,0.01259137195250771
0.3518728717366629,0.3018292682926829,0.6366559485530546,0.4095139607032058,gaussian_noise,SKAB,fold_4,999,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,161,441,894,0.01259137195250771
0.07692307692307693,0.07692307692307693,1.0,0.14285714285714285,unseen_data,SKAB,fold_4,999,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,161,441,894,0.01259137195250771
0.4152823920265781,0.3853317811408615,1.0,0.5563025210084034,original,SKAB,fold_5,42,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,136,380,789,0.01526702786377709
0.40753045404208194,0.38221709006928406,1.0,0.5530492898913951,gaussian_noise,SKAB,fold_5,42,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,136,380,789,0.01526702786377709
0.5608465608465608,0.5608465608465608,1.0,0.7186440677966102,unseen_data,SKAB,fold_5,42,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,136,380,789,0.01526702786377709
0.4152823920265781,0.3853317811408615,1.0,0.5563025210084034,original,SKAB,fold_5,123,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,136,380,789,0.01526702786377709
0.40753045404208194,0.38221709006928406,1.0,0.5530492898913951,gaussian_noise,SKAB,fold_5,123,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,136,380,789,0.01526702786377709
0.5608465608465608,0.5608465608465608,1.0,0.7186440677966102,unseen_data,SKAB,fold_5,123,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,136,380,789,0.01526702786377709
0.4152823920265781,0.3853317811408615,1.0,0.5563025210084034,original,SKAB,fold_5,2026,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,136,380,789,0.01526702786377709
0.4019933554817276,0.38002296211251435,1.0,0.5507487520798668,gaussian_noise,SKAB,fold_5,2026,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,136,380,789,0.01526702786377709
0.5608465608465608,0.5608465608465608,1.0,0.7186440677966102,unseen_data,SKAB,fold_5,2026,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,136,380,789,0.01526702786377709
0.4152823920265781,0.3853317811408615,1.0,0.5563025210084034,original,SKAB,fold_5,7,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,136,380,789,0.01526702786377709
0.3997785160575858,0.37915234822451316,1.0,0.5498338870431894,gaussian_noise,SKAB,fold_5,7,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,136,380,789,0.01526702786377709
0.5608465608465608,0.5608465608465608,1.0,0.7186440677966102,unseen_data,SKAB,fold_5,7,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,136,380,789,0.01526702786377709
0.4152823920265781,0.3853317811408615,1.0,0.5563025210084034,original,SKAB,fold_5,999,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,136,380,789,0.01526702786377709
0.39756367663344405,0.3782857142857143,1.0,0.548922056384743,gaussian_noise,SKAB,fold_5,999,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,136,380,789,0.01526702786377709
0.5608465608465608,0.5608465608465608,1.0,0.7186440677966102,unseen_data,SKAB,fold_5,999,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,136,380,789,0.01526702786377709
