dataset,scenario,order,base_order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,ensemble_name,ensemble_enabled,ensemble_orders,ensemble_weights,ensemble_aggregation,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,3.5066,,orders_2_3_4_weighted_center,True,"[2,3,4]","[0.25,0.5,0.25]",weighted_mean,0.8565853658536586,0.010115337245525729,0.12078467509501993,0.026091104527204353,0.5142857142857142,0.12777531299998798,0.19542679542679542,0.0431260101982974,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,3.5066,,orders_2_3_4_weighted_high,True,"[2,3,4]","[0.2,0.3,0.5]",weighted_mean,0.8546341463414635,0.012626516200531505,0.1193140868597258,0.026001180092553797,0.5142857142857142,0.12777531299998798,0.19342554464505685,0.042794163091576125,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,3.5066,,orders_3_4_mean,True,"[3,4]",,mean,0.8546341463414635,0.012626516200531505,0.1193140868597258,0.026001180092553797,0.5142857142857142,0.12777531299998798,0.19342554464505685,0.042794163091576125,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,3.912,,orders_2_3_4_max,True,"[2,3,4]",,max,0.9414634146341463,0.010347904114925022,0.29790209790209793,0.08097272689392673,0.5142857142857142,0.12777531299998798,0.37549989054633015,0.09401048846181914,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,3.912,,orders_2_3_4_mean,True,"[2,3,4]",,mean,0.9434146341463414,0.01317976203522561,0.2809324009324009,0.1607809090148689,0.45714285714285713,0.25555062599997597,0.3472170622635019,0.19587689266465091,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,3.912,,orders_2_3_4_weighted_center,True,"[2,3,4]","[0.25,0.5,0.25]",weighted_mean,0.944390243902439,0.011230111642167116,0.3009324009324009,0.11748991725687577,0.48571428571428565,0.19166296949998196,0.37074647402820776,0.1439145235742416,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,3.912,,orders_2_3_4_weighted_high,True,"[2,3,4]","[0.2,0.3,0.5]",weighted_mean,0.9434146341463414,0.01317976203522561,0.2809324009324009,0.1607809090148689,0.45714285714285713,0.25555062599997597,0.3472170622635019,0.19587689266465091,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,3.912,,orders_3_4_mean,True,"[3,4]",,mean,0.9434146341463414,0.01317976203522561,0.2809324009324009,0.1607809090148689,0.45714285714285713,0.25555062599997597,0.3472170622635019,0.19587689266465091,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,4.2,,orders_2_3_4_max,True,"[2,3,4]",,max,0.9580487804878048,0.0026718173536837333,0.2333333333333333,0.13693063937629152,0.11428571428571428,0.06388765649999399,0.15272727272727274,0.0858597742044916,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,4.2,,orders_2_3_4_mean,True,"[2,3,4]",,mean,0.9629268292682926,0.0026718173536837333,0.3333333333333333,0.2041241452319315,0.11428571428571428,0.06388765649999399,0.1688888888888889,0.09506333171647749,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,4.2,,orders_2_3_4_weighted_center,True,"[2,3,4]","[0.25,0.5,0.25]",weighted_mean,0.9629268292682926,0.0026718173536837333,0.3333333333333333,0.2041241452319315,0.11428571428571428,0.06388765649999399,0.1688888888888889,0.09506333171647749,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,4.2,,orders_2_3_4_weighted_high,True,"[2,3,4]","[0.2,0.3,0.5]",weighted_mean,0.9629268292682926,0.0026718173536837333,0.3333333333333333,0.2041241452319315,0.11428571428571428,0.06388765649999399,0.1688888888888889,0.09506333171647749,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,4.2,,orders_3_4_mean,True,"[3,4]",,mean,0.9629268292682926,0.0026718173536837333,0.3333333333333333,0.2041241452319315,0.11428571428571428,0.06388765649999399,0.1688888888888889,0.09506333171647749,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,4.5,,orders_2_3_4_max,True,"[2,3,4]",,max,0.9629268292682926,0.0026718173536837333,0.3333333333333333,0.2041241452319315,0.11428571428571428,0.06388765649999399,0.1688888888888889,0.09506333171647749,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,4.5,,orders_2_3_4_mean,True,"[2,3,4]",,mean,0.9629268292682926,0.0026718173536837333,0.3333333333333333,0.2041241452319315,0.11428571428571428,0.06388765649999399,0.1688888888888889,0.09506333171647749,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,4.5,,orders_2_3_4_weighted_center,True,"[2,3,4]","[0.25,0.5,0.25]",weighted_mean,0.9629268292682926,0.0026718173536837333,0.3333333333333333,0.2041241452319315,0.11428571428571428,0.06388765649999399,0.1688888888888889,0.09506333171647749,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,4.5,,orders_2_3_4_weighted_high,True,"[2,3,4]","[0.2,0.3,0.5]",weighted_mean,0.9629268292682926,0.0026718173536837333,0.3333333333333333,0.2041241452319315,0.11428571428571428,0.06388765649999399,0.1688888888888889,0.09506333171647749,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,4.5,,orders_3_4_mean,True,"[3,4]",,mean,0.9629268292682926,0.0026718173536837333,0.3333333333333333,0.2041241452319315,0.11428571428571428,0.06388765649999399,0.1688888888888889,0.09506333171647749,0.021832213094349018,618.0,877.0
BATADAL,original,3,3,0.1,avg_negative_log,5,3.5066,,base_disabled,False,[3],,mean,0.8731707317073172,0.0,0.14814814814814814,0.0,0.5714285714285714,0.0,0.23529411764705882,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,3,0.1,avg_negative_log,5,3.5066,,orders_2_3_mean,True,"[2,3]",,mean,0.8731707317073172,0.0,0.14814814814814814,0.0,0.5714285714285714,0.0,0.23529411764705882,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,3,0.1,avg_negative_log,5,3.912,,base_disabled,False,[3],,mean,0.9512195121951219,0.0,0.36363636363636365,0.0,0.5714285714285714,0.0,0.4444444444444445,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,3,0.1,avg_negative_log,5,3.912,,orders_2_3_mean,True,"[2,3]",,mean,0.9512195121951219,0.0,0.36363636363636365,0.0,0.5714285714285714,0.0,0.4444444444444445,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,3,0.1,avg_negative_log,5,4.2,,base_disabled,False,[3],,mean,0.9658536585365853,0.0,0.5,0.0,0.14285714285714285,0.0,0.22222222222222224,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,3,0.1,avg_negative_log,5,4.2,,orders_2_3_mean,True,"[2,3]",,mean,0.9609756097560975,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.2,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,3,0.1,avg_negative_log,5,4.5,,base_disabled,False,[3],,mean,0.9658536585365853,0.0,0.5,0.0,0.14285714285714285,0.0,0.22222222222222224,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,3,0.1,avg_negative_log,5,4.5,,orders_2_3_mean,True,"[2,3]",,mean,0.9658536585365853,0.0,0.5,0.0,0.14285714285714285,0.0,0.22222222222222224,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,4,4,0.1,avg_negative_log,5,3.5066,,orders_2_3_4_max,True,"[2,3,4]",,max,0.8634146341463416,0.0,0.13793103448275862,0.0,0.5714285714285714,0.0,0.22222222222222224,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,3.5066,,orders_2_3_4_mean,True,"[2,3,4]",,mean,0.8682926829268294,0.0,0.14285714285714285,0.0,0.5714285714285714,0.0,0.22857142857142856,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,3.5066,,orders_2_3_4_weighted_center,True,"[2,3,4]","[0.25,0.5,0.25]",weighted_mean,0.8682926829268294,0.0,0.14285714285714285,0.0,0.5714285714285714,0.0,0.22857142857142856,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,3.5066,,orders_2_3_4_weighted_high,True,"[2,3,4]","[0.2,0.3,0.5]",weighted_mean,0.8682926829268294,0.0,0.14285714285714285,0.0,0.5714285714285714,0.0,0.22857142857142856,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,3.5066,,orders_3_4_mean,True,"[3,4]",,mean,0.8682926829268294,0.0,0.14285714285714285,0.0,0.5714285714285714,0.0,0.22857142857142856,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,3.912,,orders_2_3_4_max,True,"[2,3,4]",,max,0.9463414634146341,0.0,0.3333333333333333,0.0,0.5714285714285714,0.0,0.42105263157894735,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,3.912,,orders_2_3_4_mean,True,"[2,3,4]",,mean,0.9463414634146341,0.0,0.3333333333333333,0.0,0.5714285714285714,0.0,0.42105263157894735,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,3.912,,orders_2_3_4_weighted_center,True,"[2,3,4]","[0.25,0.5,0.25]",weighted_mean,0.9463414634146341,0.0,0.3333333333333333,0.0,0.5714285714285714,0.0,0.42105263157894735,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,3.912,,orders_2_3_4_weighted_high,True,"[2,3,4]","[0.2,0.3,0.5]",weighted_mean,0.9463414634146341,0.0,0.3333333333333333,0.0,0.5714285714285714,0.0,0.42105263157894735,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,3.912,,orders_3_4_mean,True,"[3,4]",,mean,0.9463414634146341,0.0,0.3333333333333333,0.0,0.5714285714285714,0.0,0.42105263157894735,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,4.2,,orders_2_3_4_max,True,"[2,3,4]",,max,0.9560975609756097,0.0,0.25,0.0,0.14285714285714285,0.0,0.18181818181818182,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,4.2,,orders_2_3_4_mean,True,"[2,3,4]",,mean,0.9609756097560975,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.2,0.0,0.021832213094349018,618.0,877.0
