dataset,model,method,fold,seed,scenario,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,distance_penalty,baseline_threshold,high_threshold,low_threshold,hysteresis_width,min_anomaly_run,baseline_selected,validation_selection_mode,validation_recall_constraint_met,validation_accuracy,validation_precision,validation_recall,validation_f1_score,validation_mean_file_f1,validation_min_file_f1,validation_std_file_f1,final_training_scope,inner_splitter,inner_split_id,inner_train_file_count,inner_validation_file_count,test_file_count,sample_count,actual_anomaly_count,raw_predicted_anomaly_count,predicted_anomaly_count,unseen_count,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count,accuracy,precision,recall,f1_score
SKAB,dual_alergia_hysteresis,baseline_single_threshold,1,999,gaussian_noise,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.030764417773082642,0.0,1,True,existing_single_threshold_baseline,True,0.427536231884058,0.3773841961852861,0.9421768707482994,0.5389105058365758,0.5533758983374972,0.5148514851485149,0.03852441318898242,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,918,918,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.379372197309417,0.340958605664488,0.7825,0.47496206373292865
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,1,999,gaussian_noise,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.04618938246937465,0.01542496469629201,10,False,recall_constrained,True,0.47342995169082125,0.3961988304093567,0.9217687074829932,0.5541922290388548,0.5855694260119442,0.5142045454545454,0.07136488055739881,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,922,803,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.40358744394618834,0.33499377334993774,0.6725,0.4472152950955943
SKAB,dual_alergia_hysteresis,baseline_single_threshold,1,999,unseen_data,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.030764417773082642,0.0,1,True,existing_single_threshold_baseline,True,0.427536231884058,0.3773841961852861,0.9421768707482994,0.5389105058365758,0.5533758983374972,0.5148514851485149,0.03852441318898242,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,2,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.5,0.0,0.0,0.0
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,1,999,unseen_data,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.04618938246937465,0.01542496469629201,10,False,recall_constrained,True,0.47342995169082125,0.3961988304093567,0.9217687074829932,0.5541922290388548,0.5855694260119442,0.5142045454545454,0.07136488055739881,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,2,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,1.0,0.0,0.0,0.0
SKAB,dual_alergia_hysteresis,baseline_single_threshold,2,42,original,4,3,0.01,2,0.1,0.0,-0.021027450897390665,-0.021027450897390665,-0.021027450897390665,0.0,1,True,existing_single_threshold_baseline,True,0.3997584541062802,0.3654353562005277,0.9453924914675768,0.527117031398668,0.535827466296658,0.5136612021857924,0.022166264110865586,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1110,398,965,965,2,36,17,39,0.13494809688581316,31,7,19,0.3877551020408163,67,24,58,0.4477477477477477,0.38860103626943004,0.9422110552763819,0.5502567865003668
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,2,42,original,4,3,0.01,2,0.1,0.0,-0.021027450897390665,-0.021027450897390665,-0.021027450897390665,0.0,12,False,recall_constrained,True,0.46859903381642515,0.38980509745127434,0.8873720136518771,0.5416666666666666,0.5666454757363848,0.5179063360881543,0.04873913964823057,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1110,398,965,796,2,36,17,39,0.13494809688581316,31,7,19,0.3877551020408163,67,24,58,0.5477477477477477,0.43467336683417085,0.8693467336683417,0.5795644891122278
SKAB,dual_alergia_hysteresis,baseline_single_threshold,2,42,gaussian_noise,4,3,0.01,2,0.1,0.0,-0.021027450897390665,-0.021027450897390665,-0.021027450897390665,0.0,1,True,existing_single_threshold_baseline,True,0.3997584541062802,0.3654353562005277,0.9453924914675768,0.527117031398668,0.535827466296658,0.5136612021857924,0.022166264110865586,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1110,398,968,968,2,36,17,39,0.13494809688581316,31,7,19,0.3877551020408163,67,24,58,0.44504504504504505,0.38739669421487605,0.9422110552763819,0.5490483162518301
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,2,42,gaussian_noise,4,3,0.01,2,0.1,0.0,-0.021027450897390665,-0.021027450897390665,-0.021027450897390665,0.0,12,False,recall_constrained,True,0.46859903381642515,0.38980509745127434,0.8873720136518771,0.5416666666666666,0.5666454757363848,0.5179063360881543,0.04873913964823057,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1110,398,968,791,2,36,17,39,0.13494809688581316,31,7,19,0.3877551020408163,67,24,58,0.5378378378378378,0.427307206068268,0.8492462311557789,0.5685449957947856
SKAB,dual_alergia_hysteresis,baseline_single_threshold,2,42,unseen_data,4,3,0.01,2,0.1,0.0,-0.021027450897390665,-0.021027450897390665,-0.021027450897390665,0.0,1,True,existing_single_threshold_baseline,True,0.3997584541062802,0.3654353562005277,0.9453924914675768,0.527117031398668,0.535827466296658,0.5136612021857924,0.022166264110865586,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,2,2,36,17,39,0.13494809688581316,31,7,19,0.3877551020408163,67,24,58,0.0,0.0,0.0,0.0
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,2,42,unseen_data,4,3,0.01,2,0.1,0.0,-0.021027450897390665,-0.021027450897390665,-0.021027450897390665,0.0,12,False,recall_constrained,True,0.46859903381642515,0.38980509745127434,0.8873720136518771,0.5416666666666666,0.5666454757363848,0.5179063360881543,0.04873913964823057,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,2,2,36,17,39,0.13494809688581316,31,7,19,0.3877551020408163,67,24,58,0.0,0.0,0.0,0.0
SKAB,dual_alergia_hysteresis,baseline_single_threshold,2,123,original,4,3,0.01,2,0.1,0.0,-0.021027450897390665,-0.021027450897390665,-0.021027450897390665,0.0,1,True,existing_single_threshold_baseline,True,0.3997584541062802,0.3654353562005277,0.9453924914675768,0.527117031398668,0.535827466296658,0.5136612021857924,0.022166264110865586,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1110,398,965,965,2,36,17,39,0.13494809688581316,31,7,19,0.3877551020408163,67,24,58,0.4477477477477477,0.38860103626943004,0.9422110552763819,0.5502567865003668
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,2,123,original,4,3,0.01,2,0.1,0.0,-0.021027450897390665,-0.021027450897390665,-0.021027450897390665,0.0,12,False,recall_constrained,True,0.46859903381642515,0.38980509745127434,0.8873720136518771,0.5416666666666666,0.5666454757363848,0.5179063360881543,0.04873913964823057,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1110,398,965,796,2,36,17,39,0.13494809688581316,31,7,19,0.3877551020408163,67,24,58,0.5477477477477477,0.43467336683417085,0.8693467336683417,0.5795644891122278
SKAB,dual_alergia_hysteresis,baseline_single_threshold,2,123,gaussian_noise,4,3,0.01,2,0.1,0.0,-0.021027450897390665,-0.021027450897390665,-0.021027450897390665,0.0,1,True,existing_single_threshold_baseline,True,0.3997584541062802,0.3654353562005277,0.9453924914675768,0.527117031398668,0.535827466296658,0.5136612021857924,0.022166264110865586,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1110,398,964,964,1,36,17,39,0.13494809688581316,31,7,19,0.3877551020408163,67,24,58,0.44504504504504505,0.3869294605809129,0.9371859296482412,0.5477239353891337
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,2,123,gaussian_noise,4,3,0.01,2,0.1,0.0,-0.021027450897390665,-0.021027450897390665,-0.021027450897390665,0.0,12,False,recall_constrained,True,0.46859903381642515,0.38980509745127434,0.8873720136518771,0.5416666666666666,0.5666454757363848,0.5179063360881543,0.04873913964823057,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1110,398,964,802,1,36,17,39,0.13494809688581316,31,7,19,0.3877551020408163,67,24,58,0.5423423423423424,0.4314214463840399,0.8693467336683417,0.5766666666666667
