dataset,order,anomaly_threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,3,0.08,0.08292682926829269,0.0,0.035897435897435895,0.0,1.0,0.0,0.06930693069306931,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.02,0.6097560975609756,0.0,0.06024096385542168,0.0,0.7142857142857143,0.0,0.11111111111111112,0.0,0.021832213094349018,618.0,877.0
BATADAL,4,0.03,0.4536585365853659,0.0,0.05128205128205128,0.0,0.8571428571428571,0.0,0.0967741935483871,0.0,0.021832213094349018,618.0,877.0
BATADAL,4,0.04,0.22926829268292687,0.0,0.03680981595092025,0.0,0.8571428571428571,0.0,0.07058823529411765,0.0,0.021832213094349018,618.0,877.0
BATADAL,4,0.05,0.14634146341463414,0.0,0.038461538461538464,0.0,1.0,0.0,0.07407407407407407,0.0,0.021832213094349018,618.0,877.0
BATADAL,4,0.06,0.12195121951219512,0.0,0.0374331550802139,0.0,1.0,0.0,0.07216494845360824,0.0,0.021832213094349018,618.0,877.0
BATADAL,4,0.07,0.10243902439024391,0.0,0.03664921465968586,0.0,1.0,0.0,0.0707070707070707,0.0,0.021832213094349018,618.0,877.0
BATADAL,4,0.08,0.07804878048780488,0.0,0.03571428571428571,0.0,1.0,0.0,0.06896551724137931,0.0,0.021832213094349018,618.0,877.0
SKAB,2,0.05,0.6475055355082158,0.016464916873857406,0.4387763473431781,0.32259933305913596,0.05257667188778139,0.08496560760003334,0.08201882260950333,0.12451404711486984,0.05312948588128903,104.8,198.0
SKAB,2,0.1,0.6386740314829548,0.025669476426493417,0.4668457711442786,0.215158826227552,0.10868459718918018,0.14154883917614366,0.14771573390570988,0.16161270741951358,0.05312948588128903,104.8,198.0
SKAB,2,0.2,0.6250395058320382,0.04058698608777232,0.4679352543231258,0.21663059157944867,0.1866456254903832,0.17099935554060788,0.23023124022657052,0.16534035714289527,0.05312948588128903,104.8,198.0
