fold,seed,scenario,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,baseline_predicted_anomaly_count,baseline_raw_predicted_anomaly_count,baseline_validation_f1_score,baseline_validation_precision,baseline_validation_recall,hysteresis_accuracy,hysteresis_precision,hysteresis_recall,hysteresis_f1_score,hysteresis_predicted_anomaly_count,hysteresis_raw_predicted_anomaly_count,hysteresis_validation_f1_score,hysteresis_validation_precision,hysteresis_validation_recall,hysteresis_baseline_selected,hysteresis_high_threshold,hysteresis_low_threshold,hysteresis_hysteresis_width,hysteresis_min_anomaly_run,actual_hysteresis_selected,accuracy_difference,precision_difference,recall_difference,f1_score_difference,predicted_anomaly_count_difference,f1_winner
3,7,gaussian_noise,0.4086408640864086,0.3641133263378804,0.871859296482412,0.5136935603256847,953,953,0.5332086061739943,0.3677419354838709,0.9693877551020408,0.4383438343834383,0.3580402010050251,0.7160804020100503,0.4773869346733668,796,871,0.546692607003891,0.38283378746594,0.95578231292517,False,0.0118708527954078,-0.0948659230424429,0.1067367758378507,5,True,0.02970297029702973,-0.006073125332855311,-0.1557788944723617,-0.0363066256523179,-157,baseline
3,7,original,0.4176417641764176,0.3693599160545645,0.8844221105527639,0.5210954848260547,953,953,0.5332086061739943,0.3677419354838709,0.9693877551020408,0.4473447344734473,0.3663366336633663,0.7437185929648241,0.4908789386401326,808,865,0.546692607003891,0.38283378746594,0.95578231292517,False,0.0118708527954078,-0.0948659230424429,0.1067367758378507,5,True,0.02970297029702973,-0.003023282391198201,-0.14070351758793975,-0.030216546185922122,-145,baseline
3,42,gaussian_noise,0.5904590459045904,0.4499121265377855,0.6432160804020101,0.5294725956566702,569,569,0.5909090909090909,0.4746450304259635,0.782608695652174,0.5634563456345635,0.4235500878734622,0.6055276381909548,0.4984488107549121,569,673,0.7700729927007299,0.8473895582329317,0.705685618729097,False,0.0675430080002492,-0.3115875933053355,0.3791306013055847,6,True,-0.027002700270026936,-0.026362038664323295,-0.03768844221105527,-0.031023784901758056,0,baseline
3,42,original,0.5742574257425742,0.4345549738219895,0.6256281407035176,0.5128733264675592,573,573,0.5909090909090909,0.4746450304259635,0.782608695652174,0.558055805580558,0.4162162162162162,0.5804020100502513,0.4847848898216159,555,661,0.7700729927007299,0.8473895582329317,0.705685618729097,False,0.0675430080002492,-0.3115875933053355,0.3791306013055847,6,True,-0.016201620162016206,-0.018338757605773304,-0.045226130653266305,-0.02808843664594335,-18,baseline
3,123,gaussian_noise,0.414041404140414,0.3675392670157068,0.8819095477386935,0.5188470066518847,955,955,0.5332086061739943,0.3677419354838709,0.9693877551020408,0.4545454545454545,0.37,0.7437185929648241,0.4941569282136895,800,868,0.546692607003891,0.38283378746594,0.95578231292517,False,0.0118708527954078,-0.0948659230424429,0.1067367758378507,5,True,0.04050405040504046,0.002460732984293168,-0.13819095477386933,-0.02469007843819515,-155,baseline
3,123,original,0.4176417641764176,0.3693599160545645,0.8844221105527639,0.5210954848260547,953,953,0.5332086061739943,0.3677419354838709,0.9693877551020408,0.4473447344734473,0.3663366336633663,0.7437185929648241,0.4908789386401326,808,865,0.546692607003891,0.38283378746594,0.95578231292517,False,0.0118708527954078,-0.0948659230424429,0.1067367758378507,5,True,0.02970297029702973,-0.003023282391198201,-0.14070351758793975,-0.030216546185922122,-145,baseline
3,999,gaussian_noise,0.5787578757875788,0.4390243902439024,0.6331658291457286,0.5185185185185185,574,574,0.5909090909090909,0.4746450304259635,0.782608695652174,0.5724572457245725,0.431858407079646,0.6130653266331658,0.5067497403946002,565,671,0.7700729927007299,0.8473895582329317,0.705685618729097,False,0.0675430080002492,-0.3115875933053355,0.3791306013055847,6,True,-0.006300630063006296,-0.007165983164256373,-0.02010050251256279,-0.0117687781239183,-9,baseline
3,999,original,0.5742574257425742,0.4345549738219895,0.6256281407035176,0.5128733264675592,573,573,0.5909090909090909,0.4746450304259635,0.782608695652174,0.558055805580558,0.4162162162162162,0.5804020100502513,0.4847848898216159,555,661,0.7700729927007299,0.8473895582329317,0.705685618729097,False,0.0675430080002492,-0.3115875933053355,0.3791306013055847,6,True,-0.016201620162016206,-0.018338757605773304,-0.045226130653266305,-0.02808843664594335,-18,baseline
3,2026,gaussian_noise,0.3591359135913591,0.3585585585585585,1.0,0.5278514588859416,1110,1110,0.5290437890974083,0.3605359317904993,0.9932885906040269,0.4428442844284428,0.3686087990487515,0.7788944723618091,0.5004035512510089,841,842,0.6108165429480382,0.4465116279069767,0.9664429530201344,False,0.0528994859874489,-3.0803471642415685,3.133246650229017,5,True,0.08370837083708371,0.010050240490192985,-0.2211055276381909,-0.027447907634932767,-269,baseline
3,2026,original,0.3591359135913591,0.3585585585585585,1.0,0.5278514588859416,1110,1110,0.5290437890974083,0.3605359317904993,0.9932885906040269,0.4437443744374437,0.369047619047619,0.7788944723618091,0.5008077544426495,840,841,0.6108165429480382,0.4465116279069767,0.9664429530201344,False,0.0528994859874489,-3.0803471642415685,3.133246650229017,5,True,0.08460846084608459,0.010489060489060509,-0.2211055276381909,-0.027043704443292182,-270,baseline
4,7,gaussian_noise,0.4584474885844748,0.4045307443365696,0.9014423076923076,0.5584512285927029,927,927,0.5363636363636364,0.3669154228855721,0.9966216216216216,0.5187214611872146,0.4327272727272727,0.8581730769230769,0.5753424657534246,825,927,0.5629770992366412,0.3922872340425531,0.9966216216216216,False,-0.00459220134157,-0.0752105951148081,0.070618393773238,8,True,0.06027397260273981,0.02819652839070308,-0.043269230769230727,0.016891237160721717,-102,hysteresis
4,7,original,0.4602739726027397,0.4047878128400435,0.8942307692307693,0.5573033707865168,919,919,0.5363636363636364,0.3669154228855721,0.9966216216216216,0.5342465753424658,0.4418316831683168,0.8581730769230769,0.5833333333333334,808,919,0.5629770992366412,0.3922872340425531,0.9966216216216216,False,-0.00459220134157,-0.0752105951148081,0.070618393773238,8,True,0.07397260273972606,0.037043870328273276,-0.0360576923076924,0.026029962546816554,-111,hysteresis
4,42,gaussian_noise,0.3963470319634703,0.3862581244196843,1.0,0.5572672471533825,1077,1077,0.5265049415992812,0.3581907090464548,0.9932203389830508,0.4493150684931506,0.408243375858685,1.0,0.5797909407665506,1019,1077,0.5435992578849722,0.3742017879948914,0.9932203389830508,False,-0.6256956726897647,-0.6256956726897647,0.0,10,True,0.052968036529680296,0.021985251439000653,0.0,0.022523693613168083,-58,hysteresis
4,42,original,0.3945205479452054,0.3853296193129062,0.997596153846154,0.5559276624246483,1077,1077,0.5265049415992812,0.3581907090464548,0.9932203389830508,0.4420091324200913,0.4048780487804878,0.997596153846154,0.5759888965995836,1025,1077,0.5435992578849722,0.3742017879948914,0.9932203389830508,False,-0.6256956726897647,-0.6256956726897647,0.0,10,True,0.04748858447488591,0.019548429467581563,0.0,0.020061234174935327,-52,hysteresis
4,123,gaussian_noise,0.4986301369863014,0.4258639910813824,0.9182692307692308,0.5818735719725818,897,897,0.5647517039922103,0.3961748633879781,0.9830508474576272,0.5305936073059361,0.4412470023980815,0.8846153846153846,0.5888,834,935,0.5859613428280773,0.4186046511627907,0.976271186440678,False,-0.0358997475190936,-0.0803665418732575,0.0444667943541639,8,True,0.0319634703196347,0.015383011316699113,-0.033653846153846256,0.006926428027418163,-63,hysteresis
4,123,original,0.491324200913242,0.4217536071032186,0.9134615384615384,0.5770690964312832,901,901,0.5647517039922103,0.3961748633879781,0.9830508474576272,0.5214611872146119,0.4366197183098591,0.8942307692307693,0.5867507886435331,852,937,0.5859613428280773,0.4186046511627907,0.976271186440678,False,-0.0358997475190936,-0.0803665418732575,0.0444667943541639,8,True,0.03013698630136985,0.014866111206640498,-0.019230769230769162,0.009681692212249904,-49,hysteresis
4,999,gaussian_noise,0.4694063926940639,0.4102285092491839,0.90625,0.5647940074906367,919,919,0.5363636363636364,0.3669154228855721,0.9966216216216216,0.5305936073059361,0.4409638554216867,0.8798076923076923,0.5874799357945425,830,919,0.5629770992366412,0.3922872340425531,0.9966216216216216,False,-0.00459220134157,-0.0752105951148081,0.070618393773238,8,True,0.061187214611872154,0.030735346172502787,-0.02644230769230771,0.02268592830390581,-89,hysteresis
