dataset,decision_mode,order,smoothing_alpha,score_window,score_threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,avg_negative_log,2,0.01,3,2.5257,0.5219512195121951,0.0,0.058252427184466014,0.0,0.8571428571428571,0.0,0.10909090909090909,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,2,0.1,10,2.8134,0.4341463414634147,0.0,0.056910569105691054,0.0,1.0,0.0,0.10769230769230771,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,2,0.5,3,3.2189,0.4341463414634147,0.0,0.056910569105691054,0.0,1.0,0.0,0.10769230769230771,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,3,0.1,10,2.8134,0.4341463414634147,0.0,0.056910569105691054,0.0,1.0,0.0,0.10769230769230771,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,4,0.1,3,2.6593,0.4341463414634147,0.0,0.056910569105691054,0.0,1.0,0.0,0.10769230769230771,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,3,0.01,5,2.8134,0.5951219512195122,0.0,0.058139534883720936,0.0,0.7142857142857143,0.0,0.1075268817204301,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,4,0.01,5,2.8134,0.5951219512195122,0.0,0.058139534883720936,0.0,0.7142857142857143,0.0,0.1075268817204301,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,2,0.1,5,2.8134,0.5073170731707317,0.0,0.05660377358490566,0.0,0.8571428571428571,0.0,0.10619469026548671,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,2,1.0,3,3.5066,0.41951219512195126,0.0,0.05555555555555556,0.0,1.0,0.0,0.10526315789473684,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,3,0.5,3,3.2189,0.41463414634146345,0.0,0.05511811023622047,0.0,1.0,0.0,0.1044776119402985,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,4,0.1,10,2.8134,0.40975609756097564,0.0,0.0546875,0.0,1.0,0.0,0.1037037037037037,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,4,0.5,3,3.2189,0.40975609756097564,0.0,0.0546875,0.0,1.0,0.0,0.1037037037037037,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,4,0.1,5,2.8134,0.4926829268292683,0.0,0.05504587155963303,0.0,0.8571428571428571,0.0,0.10344827586206898,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,3,0.1,5,2.8134,0.4878048780487805,0.0,0.05454545454545454,0.0,0.8571428571428571,0.0,0.10256410256410256,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,2,0.01,10,2.6593,0.4,0.0,0.053846153846153856,0.0,1.0,0.0,0.10218978102189782,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,3,1.0,3,3.5066,0.4,0.0,0.053846153846153856,0.0,1.0,0.0,0.10218978102189782,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,2,1.0,5,3.5066,0.3951219512195122,0.0,0.05343511450381679,0.0,1.0,0.0,0.10144927536231885,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,2,0.01,5,2.8134,0.5658536585365853,0.0,0.05434782608695652,0.0,0.7142857142857143,0.0,0.10101010101010102,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,2,0.5,5,3.2189,0.3902439024390244,0.0,0.053030303030303025,0.0,1.0,0.0,0.10071942446043165,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,2,0.1,3,2.5257,0.3853658536585366,0.0,0.05263157894736842,0.0,1.0,0.0,0.1,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,4,0.1,3,2.5257,0.3853658536585366,0.0,0.05263157894736842,0.0,1.0,0.0,0.1,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,3,0.1,3,2.5257,0.3804878048780488,0.0,0.05223880597014925,0.0,1.0,0.0,0.09929078014184398,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,4,1.0,3,3.5066,0.375609756097561,0.0,0.05185185185185185,0.0,1.0,0.0,0.09859154929577464,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,4,0.01,5,2.6593,0.5414634146341464,0.0,0.05154639175257732,0.0,0.7142857142857143,0.0,0.09615384615384616,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,4,0.01,5,2.5257,0.4487804878048781,0.0,0.05084745762711864,0.0,0.8571428571428571,0.0,0.096,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,3,0.5,5,3.2189,0.35609756097560974,0.0,0.050359712230215826,0.0,1.0,0.0,0.0958904109589041,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,3,1.0,5,3.5066,0.35609756097560974,0.0,0.050359712230215826,0.0,1.0,0.0,0.0958904109589041,0.0,0.023245060949978982,366.0,553.0
