accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,smoothing_alpha,decision_mode,score_threshold,auto_score_percentile,score_window,max_mapping_distance,entropy_threshold,entropy_mode,entropy_min_total_exits,num_states,vocab_size,num_transitions,transition_density
0.34146341463414637,0.04285714285714286,0.8571428571428571,0.08163265306122448,gaussian_noise,BATADAL,entropy_threshold_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.85,normalized,1,366,65,553,0.023245060949978982
0.75,0.2,1.0,0.3333333333333333,unseen_data,BATADAL,entropy_threshold_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.85,normalized,1,366,65,553,0.023245060949978982
0.33170731707317075,0.04225352112676056,0.8571428571428571,0.08053691275167785,original,BATADAL,entropy_threshold_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.85,normalized,1,366,65,553,0.023245060949978982
0.34146341463414637,0.022388059701492536,0.42857142857142855,0.0425531914893617,gaussian_noise,BATADAL,entropy_threshold_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.85,normalized,1,366,65,553,0.023245060949978982
0.75,0.2,1.0,0.3333333333333333,unseen_data,BATADAL,entropy_threshold_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.85,normalized,1,366,65,553,0.023245060949978982
0.33170731707317075,0.04225352112676056,0.8571428571428571,0.08053691275167785,original,BATADAL,entropy_threshold_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.85,normalized,1,366,65,553,0.023245060949978982
0.35121951219512193,0.043478260869565216,0.8571428571428571,0.08275862068965517,gaussian_noise,BATADAL,entropy_threshold_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.85,normalized,1,366,65,553,0.023245060949978982
0.75,0.2,1.0,0.3333333333333333,unseen_data,BATADAL,entropy_threshold_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.85,normalized,1,366,65,553,0.023245060949978982
0.33170731707317075,0.04225352112676056,0.8571428571428571,0.08053691275167785,original,BATADAL,entropy_threshold_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.85,normalized,1,366,65,553,0.023245060949978982
0.35121951219512193,0.043478260869565216,0.8571428571428571,0.08275862068965517,gaussian_noise,BATADAL,entropy_threshold_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.85,normalized,1,366,65,553,0.023245060949978982
0.75,0.2,1.0,0.3333333333333333,unseen_data,BATADAL,entropy_threshold_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.85,normalized,1,366,65,553,0.023245060949978982
0.33170731707317075,0.04225352112676056,0.8571428571428571,0.08053691275167785,original,BATADAL,entropy_threshold_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.85,normalized,1,366,65,553,0.023245060949978982
0.33658536585365856,0.0425531914893617,0.8571428571428571,0.08108108108108109,gaussian_noise,BATADAL,entropy_threshold_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.85,normalized,1,366,65,553,0.023245060949978982
0.75,0.2,1.0,0.3333333333333333,unseen_data,BATADAL,entropy_threshold_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.85,normalized,1,366,65,553,0.023245060949978982
0.5609756097560976,0.06315789473684211,0.8571428571428571,0.11764705882352941,original,BATADAL,entropy_threshold_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.9,normalized,1,366,65,553,0.023245060949978982
0.5804878048780487,0.06593406593406594,0.8571428571428571,0.12244897959183673,gaussian_noise,BATADAL,entropy_threshold_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.9,normalized,1,366,65,553,0.023245060949978982
0.8125,0.25,1.0,0.4,unseen_data,BATADAL,entropy_threshold_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.9,normalized,1,366,65,553,0.023245060949978982
0.5609756097560976,0.06315789473684211,0.8571428571428571,0.11764705882352941,original,BATADAL,entropy_threshold_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.9,normalized,1,366,65,553,0.023245060949978982
0.5658536585365853,0.023255813953488372,0.2857142857142857,0.043010752688172046,gaussian_noise,BATADAL,entropy_threshold_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.9,normalized,1,366,65,553,0.023245060949978982
0.8125,0.25,1.0,0.4,unseen_data,BATADAL,entropy_threshold_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.9,normalized,1,366,65,553,0.023245060949978982
0.5609756097560976,0.06315789473684211,0.8571428571428571,0.11764705882352941,original,BATADAL,entropy_threshold_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.9,normalized,1,366,65,553,0.023245060949978982
0.5707317073170731,0.06451612903225806,0.8571428571428571,0.12,gaussian_noise,BATADAL,entropy_threshold_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.9,normalized,1,366,65,553,0.023245060949978982
0.8125,0.25,1.0,0.4,unseen_data,BATADAL,entropy_threshold_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.9,normalized,1,366,65,553,0.023245060949978982
0.5609756097560976,0.06315789473684211,0.8571428571428571,0.11764705882352941,original,BATADAL,entropy_threshold_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.9,normalized,1,366,65,553,0.023245060949978982
0.5756097560975609,0.06521739130434782,0.8571428571428571,0.12121212121212122,gaussian_noise,BATADAL,entropy_threshold_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.9,normalized,1,366,65,553,0.023245060949978982
0.8125,0.25,1.0,0.4,unseen_data,BATADAL,entropy_threshold_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.9,normalized,1,366,65,553,0.023245060949978982
0.5609756097560976,0.06315789473684211,0.8571428571428571,0.11764705882352941,original,BATADAL,entropy_threshold_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.9,normalized,1,366,65,553,0.023245060949978982
0.5707317073170731,0.06451612903225806,0.8571428571428571,0.12,gaussian_noise,BATADAL,entropy_threshold_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.9,normalized,1,366,65,553,0.023245060949978982
0.8125,0.25,1.0,0.4,unseen_data,BATADAL,entropy_threshold_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.9,normalized,1,366,65,553,0.023245060949978982
0.6195121951219512,0.06172839506172839,0.7142857142857143,0.11363636363636363,original,BATADAL,entropy_threshold_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.95,normalized,1,366,65,553,0.023245060949978982
0.6390243902439025,0.06493506493506493,0.7142857142857143,0.11904761904761904,gaussian_noise,BATADAL,entropy_threshold_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.95,normalized,1,366,65,553,0.023245060949978982
0.8125,0.25,1.0,0.4,unseen_data,BATADAL,entropy_threshold_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.95,normalized,1,366,65,553,0.023245060949978982
0.6195121951219512,0.06172839506172839,0.7142857142857143,0.11363636363636363,original,BATADAL,entropy_threshold_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.95,normalized,1,366,65,553,0.023245060949978982
0.624390243902439,0.02702702702702703,0.2857142857142857,0.04938271604938271,gaussian_noise,BATADAL,entropy_threshold_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.95,normalized,1,366,65,553,0.023245060949978982
0.8125,0.25,1.0,0.4,unseen_data,BATADAL,entropy_threshold_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.95,normalized,1,366,65,553,0.023245060949978982
