dataset,scenario,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,dirichlet_smoothing_enabled,dirichlet_alpha,dirichlet_prior_mode,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
SKAB,original,3,0.5,avg_negative_log,10,0.5,,True,5.0,uniform,0.604157062625111,0.14203378660803048,0.49680497937957324,0.21836916140637877,0.5164785171698368,0.30972320654145696,0.4560875227759054,0.2068959945629356,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.7,,True,20.0,uniform,0.6076921596363084,0.1438604042249254,0.5021090132094271,0.22692503223229638,0.5019721205347085,0.3086495606054988,0.4510120636243938,0.21177282466855615,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.7,,False,5.0,uniform,0.6071902417513292,0.14290230344860386,0.5019235552793134,0.2269738519927968,0.49196327999438055,0.2986726257959886,0.44696119783877264,0.21032939432224254,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.7,,True,15.0,uniform,0.6120463931818676,0.14237431302330386,0.5071579986063304,0.23280251246015943,0.48097063666349404,0.2954088299147713,0.4445740699251148,0.21468371034106432,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.9,,True,30.0,uniform,0.6136463590296123,0.14086840195882014,0.5072160728151439,0.23720010873466715,0.4694655181147121,0.2957134607510175,0.43857255005760826,0.21792151910029597,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.7,,True,10.0,uniform,0.6133357417074035,0.13721151768581097,0.5061652616856227,0.2351076069556129,0.460950455567213,0.28730306739136535,0.43445409489794334,0.21423492947122028,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.7,,True,7.5,uniform,0.6151446208394471,0.13243703053732583,0.5049720989302228,0.23465885913495405,0.4484565528534553,0.2837971944960046,0.4277246357389326,0.21468529767609243,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.9,,True,20.0,uniform,0.6131546320769532,0.13320352361617457,0.5042754123890667,0.24013689749612707,0.4379639219760049,0.2828120802225896,0.4203416123618288,0.216325658382852,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.9,,False,5.0,uniform,0.6144115014954884,0.13098379627454815,0.5016344333445084,0.2361755314197955,0.4309713596157737,0.2861982040391537,0.4144516576603181,0.22128431643925023,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.7,,True,5.0,uniform,0.615165593780906,0.12722181326627935,0.49857227017920513,0.23177479263848053,0.42346130334956383,0.28187365565260086,0.41018738599457955,0.22032180230237317,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.9,,True,15.0,uniform,0.6163892023855357,0.1280357941654377,0.501259890725026,0.23683346850247688,0.4189687472860138,0.2840510385018773,0.4072557920710278,0.2245767025850594,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.9,,True,10.0,uniform,0.625382356026274,0.11708773428163231,0.5006085997454284,0.23113965289745417,0.39448847301564294,0.2824848499123663,0.3926671922861242,0.23384096904106852,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.9,,True,7.5,uniform,0.630788916009751,0.10713380746664697,0.4962770464543059,0.2393803120471333,0.3635043334692484,0.280731872389653,0.37204859679303276,0.23964269958197176,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.9,,True,5.0,uniform,0.6367535339791741,0.09196355718649005,0.5068001991570902,0.25285991654602774,0.31700753167020723,0.262181038483858,0.3416128356070717,0.23453451142510703,0.05091218372849919,233.6,423.2
