accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,smoothing_alpha,decision_mode,score_threshold,score_window,num_states,vocab_size,num_transitions,transition_density
0.0975609756097561,0.036458333333333336,1.0,0.07035175879396985,original,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.06000064300904766,1.0,avg_negative_log,2.8134,3,184,65,301,0.02516722408026756
0.12195121951219512,0.0374331550802139,1.0,0.07216494845360824,gaussian_noise,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.06000064300904766,1.0,avg_negative_log,2.8134,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.06000064300904766,1.0,avg_negative_log,2.8134,3,184,65,301,0.02516722408026756
0.0975609756097561,0.036458333333333336,1.0,0.07035175879396985,original,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.06000064300904766,1.0,avg_negative_log,2.8134,3,184,65,301,0.02516722408026756
0.11707317073170732,0.03723404255319149,1.0,0.07179487179487179,gaussian_noise,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.06000064300904766,1.0,avg_negative_log,2.8134,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.06000064300904766,1.0,avg_negative_log,2.8134,3,184,65,301,0.02516722408026756
0.11219512195121951,0.037037037037037035,1.0,0.07142857142857142,original,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.05000161370373939,1.0,avg_negative_log,2.9957,3,184,65,301,0.02516722408026756
0.14146341463414633,0.03825136612021858,1.0,0.07368421052631578,gaussian_noise,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.05000161370373939,1.0,avg_negative_log,2.9957,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.05000161370373939,1.0,avg_negative_log,2.9957,3,184,65,301,0.02516722408026756
0.11219512195121951,0.037037037037037035,1.0,0.07142857142857142,original,BATADAL,avg_negative_log_window_sweep,123,4,3,2,0.05000161370373939,1.0,avg_negative_log,2.9957,3,184,65,301,0.02516722408026756
0.13170731707317074,0.027624309392265192,0.7142857142857143,0.05319148936170213,gaussian_noise,BATADAL,avg_negative_log_window_sweep,123,4,3,2,0.05000161370373939,1.0,avg_negative_log,2.9957,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,123,4,3,2,0.05000161370373939,1.0,avg_negative_log,2.9957,3,184,65,301,0.02516722408026756
0.11219512195121951,0.037037037037037035,1.0,0.07142857142857142,original,BATADAL,avg_negative_log_window_sweep,2026,4,3,2,0.05000161370373939,1.0,avg_negative_log,2.9957,3,184,65,301,0.02516722408026756
0.12195121951219512,0.0374331550802139,1.0,0.07216494845360824,gaussian_noise,BATADAL,avg_negative_log_window_sweep,2026,4,3,2,0.05000161370373939,1.0,avg_negative_log,2.9957,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,2026,4,3,2,0.05000161370373939,1.0,avg_negative_log,2.9957,3,184,65,301,0.02516722408026756
0.11219512195121951,0.037037037037037035,1.0,0.07142857142857142,original,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.05000161370373939,1.0,avg_negative_log,2.9957,3,184,65,301,0.02516722408026756
0.14146341463414633,0.03825136612021858,1.0,0.07368421052631578,gaussian_noise,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.05000161370373939,1.0,avg_negative_log,2.9957,3,184,65,301,0.02516722408026756
